out_action,D0,D1,D2,D3,D4,D5
5,2037.143489,-46.07858955,0.566668508,0.235470776,0.283049655,-0.054966641
4,1587.809532,-4.001675293,0.40824191,0.052718007,0.229408314,-0.054055909
10,1092.170447,42.40084414,0.257193529,0.071174483,0.231662728,-0.055011767
23,424.5186446,59.44299041,-0.207485353,0.002992732,0.360168252,-0.015472531
12,1871.454404,-511.8820416,0.991490866,0.200412585,-0.085976614,0.029495278
7,1347.943358,-478.0275684,0.748079035,-0.056563389,-0.362770242,0.064675968
1,1131.216076,-262.3231192,-3.065508199,0.105656017,0.958342815,0.068490856
6,117.7491521,-4.84991311,-0.480702911,0.113479038,-0.014703893,0.029189271
9,2063.392659,17.3365537,0.385039274,0.186326005,0.256697085,-0.013644871
16,1233.001051,63.27783348,-0.583446165,-0.02766457,0.03498311,0.030207274
10,384.4910237,16.63846835,-0.911560281,-0.048623815,0.026744811,0.028467051
20,1723.674534,-346.615907,1.345083224,0.088105099,-0.139547489,-0.000663463
1,1251.003944,-325.9309136,1.776428383,-0.25697527,-0.216852115,0.06779231
1,357.9217305,-58.51604604,-0.279662641,0.003427024,0.040496896,-0.002207527
6,1985.440366,-52.24531871,0.016220515,0.267883246,-0.055329514,-0.038886426
16,1560.771671,-12.60719302,-0.094800141,0.071919368,-0.153325336,-0.040023909
5,703.367772,-24.06799453,-0.941647866,0.040248976,-0.460757334,0.002421437
18,239.948157,4.020451195,-0.070910969,0.081589991,-0.061792464,-0.034873521
3,2199.311776,-233.0474526,0.504018333,0.14386829,0.003585082,0.000233626
2,1640.008365,-168.306846,-0.051808661,0.001345642,0.035461663,-0.001076371
3,967.5304213,-86.38964146,-0.256204174,0.023498168,0.044290303,0.000740996
3,400.9807499,-38.49356248,0.036992926,-0.001018667,-0.018730074,0.000788774
5,2071.57048,-104.4762521,0.563711904,0.021709076,0.08554645,0.025808812
6,1622.236523,-62.39933789,0.405285306,-0.161043693,0.031905109,0.026719544
10,1200.488716,-25.68082853,0.457884342,-0.175163858,-0.004136089,0.025290711
10,540.1356898,-0.607788733,-0.201679108,-0.210153368,0.232664421,0.065292964
8,2293.013139,-355.3447007,0.606084141,0.175351537,0.001651984,0.013078151
1,1191.3605,-157.5126933,-1.59139609,-0.023417409,0.126618646,0.062784253
5,281.9491021,-14.7955532,-0.754808147,0.087396982,0.133124392,0.01361983
4,1892.92589,-176.7665363,0.05676031,0.207624404,0.038698547,-0.006644796
3,1396.960712,-127.1417131,-0.251045524,0.043380299,-0.030131435,-0.006701073
3,837.420802,-70.48970763,-0.450509353,0.063851043,0.053700407,-0.006923231
6,273.3452566,-17.44830211,-0.438280573,0.063512225,0.033936981,-0.006682511
19,1918.122964,-463.2636308,1.295736734,0.088779522,-0.144091326,-0.001065054
7,1382.797134,-449.8464142,1.049026554,-0.155367236,-0.569786288,0.051256294
1,1205.823015,-286.8679365,-2.345681066,-0.02201615,0.891618024,0.036498205
1,199.5340016,-27.82434485,-0.197323467,0.002146202,-0.063159429,-0.001522499
16,2087.607938,26.26567688,0.379148806,0.176887609,0.343916915,-0.008381318
9,1230.004186,19.3993043,-0.534788119,-0.0499049,-0.077774501,0.032828624
17,422.6777002,45.49597685,-0.99216067,-0.04038665,0.177674984,0.034309751
19,1985.622275,-439.2976536,1.402000241,0.087041959,-0.174465114,-0.000161821
14,1449.13135,-425.8447652,1.12816942,-0.170371309,-0.804911225,0.028602234
1,1325.255731,-321.6635953,-1.782936552,-0.023311693,0.862869568,0.049213762
1,327.5140415,-52.85795692,-0.121411599,0.000730932,-0.087180333,-0.000867261
10,1870.214039,39.53110902,0.706636721,0.249095709,0.202947513,-0.042271861
16,1211.613492,68.47326832,-0.089660478,0.017388993,0.377207598,-0.00307472
17,344.0586264,21.79582766,-0.11716142,0.018138472,0.002284152,0.000191238
8,2007.280328,-344.2270133,1.364886348,0.087900608,-0.131278217,-0.000510178
1,907.4481212,-142.7992616,-0.82635834,-0.10067841,0.010241795,0.049466578
13,1994.919526,-510.6626264,1.462365099,0.0863462,-0.172543833,0.000311872
7,1526.706206,-469.9922857,1.443156684,-0.190990609,-0.184548821,0.039289974
1,1392.85825,-329.0073891,-1.940161344,-0.045015922,0.845648053,0.053098196
1,391.0549172,-67.13350263,-0.043221867,-0.000172456,-0.089697888,-0.000255703
19,2042.634104,-451.476088,1.450551138,0.086471379,-0.173476141,0.000220882
14,1506.14318,-438.0231995,1.176720316,-0.170941888,-0.803922252,0.028984937
1,1382.26756,-333.8420297,-1.734385655,-0.023882273,0.863858541,0.049596465
1,384.5258709,-65.0363913,-0.072860702,0.000160352,-0.08619136,-0.000484558
10,1965.934973,105.7470469,1.164828797,-0.005776552,0.510583169,0.029916314
23,1305.745359,137.4150712,0.369294786,-0.219639469,0.670922377,0.073569739
23,423.3130083,33.38890265,0.519725068,-0.21318783,0.170467431,0.091473917
12,1978.981548,-601.6367768,2.430948968,0.0374913,-0.624274966,-0.003854729
14,1455.470502,-567.7823037,2.187537137,-0.219484675,-0.901068594,0.03132596
1,1233.349372,-348.4705322,-1.930937596,-0.06286438,0.417151688,0.040267556
0,214.8863866,-95.38086964,0.977874023,-0.049679974,-0.558036053,-0.004010412
13,2067.809769,-525.5407252,1.488090736,0.086182983,-0.159707443,0.000495266
7,1599.596449,-484.8703844,1.468882322,-0.191153827,-0.171712431,0.039473368
1,1465.748493,-343.8854878,-1.914435707,-0.045179139,0.858484443,0.05328159
1,463.9451599,-82.0116014,-0.017496229,-0.000335674,-0.076861499,-7.23E-05
10,2002.129339,-24.54265839,0.338640541,0.163595645,-0.012030723,0.000780629
16,1341.939726,7.12536595,-0.45689347,-0.050267272,0.148308486,0.044434054
4,476.8451734,-31.61293208,-0.565031897,-0.043220944,-0.180357662,0.057197215
12,1666.801968,-495.0470983,1.698580411,0.084649284,-0.107693228,0.002003015
14,1143.290922,-461.1926252,1.45516858,-0.17232669,-0.384486856,0.037183704
1,921.169792,-241.8808537,-2.663306153,-0.015706396,0.933733426,0.0461253
2,2224.183069,-348.5344431,0.873031678,0.117984321,-0.080297125,0.001161308
1,1554.954309,-252.7825062,0.193286073,-0.004376172,-0.058313126,0.002921921
2,675.1442448,-65.36797049,-0.604520205,0.031769708,0.088384956,0.000736516
12,1695.830582,-504.4293723,1.624898097,0.085280845,-0.095730684,0.001451787
7,1174.131434,-468.0496868,1.34774794,-0.153368637,-0.284206122,0.045121553
1,948.1349723,-245.9546253,-2.45809345,-0.016361168,0.943130894,0.03457363
10,2019.330136,-17.85464037,0.381872907,0.162248619,4.01E-05,0.001975587
16,1360.729589,11.08751893,-0.414424292,-0.069458097,0.174300179,0.041172729
4,493.1747237,-35.58992173,-0.441925233,-0.068708619,-0.200623267,0.044438687
4,1717.987914,-16.16620419,0.311668517,0.23146734,0.162688695,-0.036606806
16,1222.022736,33.45861904,0.003862684,0.067223235,0.093858714,-0.036663084
10,362.8116136,9.236077143,-0.676816933,0.002283804,-0.19099934,0.004996926
19,2249.424106,-491.5379827,1.46377832,0.086626023,-0.139134477,0.000284978
14,1712.933181,-478.0850942,1.189947498,-0.170787245,-0.769580588,0.029049033
1,1589.057562,-373.9039244,-1.721158473,-0.023727629,0.898200205,0.049660561
1,591.3158723,-105.098286,-0.05963352,0.000314996,-0.051849696,-0.000420462
3,2118.027303,-382.3595358,1.440037688,0.086815073,-0.149450687,0.000109815
1,1558.723892,-317.6189291,0.884210694,-0.055707574,-0.117574106,-0.001200182
1,678.5876001,-124.2438202,-0.051062466,0.000764021,0.020939305,-0.000421613
10,1786.131155,92.46536421,0.251444076,0.235585027,0.433933939,-0.042786506
23,1127.530607,121.4075235,-0.544853122,0.003878311,0.608194024,-0.003589364
18,245.2422444,7.940921584,-0.21564248,0.00504117,0.026180924,-0.007195381
5,1773.506136,-306.1423995,0.178830348,0.194000099,0.073973848,0.003802264
6,1324.172179,-264.0654852,0.02040375,0.01124733,0.020332507,0.004712996
7,902.4243721,-227.3469759,0.073002785,-0.002872835,-0.015708692,0.003284162
3,728.1551212,-47.94271169,-3.5984063,0.078974073,1.107698847,0.05064411
6,85.38095218,-7.005745027,-0.035504396,0.039597576,-0.046739415,0.010298827
19,1881.682795,-432.7659438,0.009989001,0.175346257,-0.097997123,-0.01503562
14,1346.356965,-419.3487272,-0.236721179,-0.068800501,-0.523692085,0.037285727
1,1146.513831,-227.9096706,-4.114628497,-0.001629494,0.898703332,0.055893952
3,132.4137202,16.89826815,-1.444818081,0.088250061,-0.025416714,-0.015192763
11,1849.321352,89.12200837,0.320795462,0.132810486,-0.045729057,0.001069089
23,1265.800689,128.9574616,-0.624059325,-0.119005981,-0.182875005,0.032947766
10,389.8184385,10.14365416,-0.775406411,-0.10004283,-0.415208598,0.034383259
2,1810.613628,-214.7249175,0.552905505,0.142634619,-0.011581642,0.001268519
2,1141.384867,-118.9729805,-0.1268401,0.020274126,0.010402357,0.003029133
3,469.4316408,-39.98538854,-0.226317464,0.022680087,0.03004474,0.001487038
16,1719.564564,-61.36062531,0.318393303,0.164132695,0.004059632,0.000172423
5,861.9608119,-68.22699789,-0.595543623,-0.062659814,-0.417631784,0.041382366
4,399.5669625,-39.40133156,0.227983811,-0.021989759,-0.003395673,0.004002131
16,2028.454312,-92.62514145,0.207087026,0.181133546,0.023462652,0.000821717
3,1172.972296,-94.21401532,-0.727655107,-0.022145923,-0.335611824,0.056055784
4,622.6281412,-51.37916272,-0.20711103,0.034448712,0.052757761,0.002648127
5,124.8625303,-9.397890073,-0.091217899,0.016346185,-0.007197009,0.001160174
3,1887.71924,-57.29235397,0.369839925,0.162470104,-0.039615048,0.001574359
16,1328.415829,7.448252691,-0.185987069,0.019947457,-0.007738467,0.000264362
4,465.769981,-31.06066032,-0.589112015,-0.067945251,-0.320475461,0.043552625
4,1679.554041,-44.09231423,0.356965047,0.14831981,-0.108738852,-0.003346368
16,1183.588863,5.532509006,0.049159213,-0.015924295,-0.177568833,-0.003402646
3,324.3777406,-18.69003289,-0.631520404,-0.080863726,-0.462426887,0.038257364
9,1661.092784,-3.054596644,0.033680212,0.19616626,0.340944317,-0.001262001
17,830.701176,42.88668314,-0.934805227,-0.017824315,0.119230343,0.042590144
6,140.8064991,-3.00588868,-0.591081239,-0.049744359,0.100217953,0.036460795
12,1775.867207,-510.7930454,1.432630457,0.087432039,-0.060731066,-6.13E-06
21,1252.356161,-476.9385723,1.189218626,-0.169543935,-0.337524694,0.035174556
1,1024.144926,-249.7403422,-3.288927075,-0.013582012,0.985394852,0.04745809
5,1950.56112,-229.7255729,0.798290605,0.119532967,-0.049738357,6.69E-05
2,1501.349351,-187.6221268,0.63435611,-0.063002426,-0.107267381,0.000734318
2,832.4828426,-96.81380887,0.083114988,-0.001906716,-0.022816614,0.00127108
2,160.2992284,-18.54301136,0.013301778,-0.000292107,-0.006525951,0.000200101
9,1743.11781,-25.76118688,0.091604643,0.260256517,0.251321052,-0.048594733
6,912.7262015,20.1800929,-0.876880797,0.046265943,0.029607078,-0.004742588
23,466.1782441,48.12260915,-0.086957473,0.067089683,0.094799082,-0.052822656
10,1981.157434,-30.36648289,0.704851223,0.121525913,-0.077176397,-0.001380543
16,1322.556886,-1.424323592,-0.091445976,-0.110180803,0.097083688,0.037816599
