,path_id,initial_state,final_state,h_actions,h_path,h_cost,h_distance,h_time,end_message
0,1,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2183.59990998254, -664.2863278647993, 1, 0, 0, 0, 0, 0, 0)","[array([-0.01745,  0.     ]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[0.03156777, 0.03555904]], dtype=float32)>]","[array([ 1.51006311, -4.13769346,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ])]",0.0,2282.407696329439,98.15747165679932,Error
1,2,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2044.2081375871876, 16.002588522432383, 1, 0, 0, 0, 0, 0, 0)","[array([-0.06981   ,  0.12684497]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.01848554,  0.17546773]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.05222408,  0.09094881]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[0.014399  , 0.08856122]], dtype=float32)>]","[array([ 1.29860541,  0.63072757,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([-0.43454339,  1.19328488, -3.53304256,  0.56572874,  0.09655548,
       -2.52691336, -0.01848554,  0.17546773]), array([-1.43511525,  1.32712883, -0.6976828 , -0.64454861, -1.23084456,
       -1.10376733, -0.05222408,  0.09094881])]",5910.189839688679,268.22714726635076,414.6994216442108,Error
2,3,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2006.4311730426193, -152.1696010416172, 1, 0, 0, 0, 0, 0, 0)","[array([-0.08727,  0.     ]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.05219209, -0.00094292]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.06057932,  0.08214935]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.01698642,  0.09825937]], dtype=float32)>]","[array([ 1.24129765, -0.54805954,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([ 3.27826204e-01,  3.06798356e-01, -8.67174854e-01, -1.23479131e+00,
        5.69309071e-01, -2.41094730e-01, -5.21920919e-02, -9.42915678e-04]), array([-0.60538818,  0.699089  , -0.86456905, -1.18335419,  0.07561444,
       -0.24511362, -0.06057932,  0.08214935])]",641.5467320546145,789.5263022424839,592.2203273773192,End
3,4,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2020.5228830770452, -344.04994443246625, 1, 0, 0, 0, 0, 0, 0)","[array([-0.01745   ,  0.12684497]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.01799259,  0.00317291]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.06927206,  0.04678706]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[0.01225489, 0.1206917 ]], dtype=float32)>]","[array([ 1.26267481, -1.89302672,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([-0.19540977,  0.35782329, -2.45285408, -0.76233591,  0.52928695,
       -0.31190334, -0.01799259,  0.00317291]), array([-1.02215947,  0.77577046, -0.28739033, -1.81760218,  0.39915058,
        0.52074258, -0.06927206,  0.04678706])]",216.38162043525278,515.6798027398004,635.5251300334929,Error
4,5,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2291.5815635831136, 118.14510667975344, 1, 0, 0, 0, 0, 0, 0)","[array([-0.03491   ,  0.15855621]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.00573318,  0.22619659]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[0.02265588, 0.40355965]], dtype=float32)>]","[array([ 1.67387157,  1.34668592,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([-1.08653243e+00,  7.56010019e+00, -6.51967040e+00, -9.02552733e-01,
        1.86814021e-01, -4.86821968e-01, -5.73318452e-03,  2.26196587e-01])]",10947.787798847015,1109.926755246449,322.3906078338623,Error
5,6,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2268.7553339765595, -198.85775115321374, 1, 0, 0, 0, 0, 0, 0)","[array([-0.10472,  0.     ]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.04642804, -0.00799167]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.08685794,  0.0300504 ]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.02768195,  0.15522966]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[0.00855324, 0.01634968]], dtype=float32)>]","[array([ 1.63924411, -0.87531573,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([ 0.68018269,  0.08021929, -1.04802023, -1.14900814,  1.24189243,
       -0.26179196, -0.04642804, -0.00799167]), array([-0.06001197,  0.68487696, -0.4588453 , -1.2682215 ,  0.33447365,
       -0.81560756, -0.08685794,  0.0300504 ]), array([-1.53551896,  0.79385111, -2.33993971, -2.03993686, -1.14157007,
        1.13816238, -0.02768195,  0.15522966])]",3723.938038275948,180.3064499812989,829.6602435112,Error
6,7,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2041.6677895775872, -1.325823819294248, 1, 0, 0, 0, 0, 0, 0)","[array([-0.06981,  0.     ]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.02300718,  0.1561591 ]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.05386503,  0.0531204 ]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[0.03408224, 0.14536306]], dtype=float32)>]","[array([ 1.29475169,  0.50926569,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([-0.2685193 ,  1.07382044, -3.18516008, -0.59121874, -0.08963992,
       -0.38737749, -0.02300718,  0.1561591 ]), array([-1.21422858,  1.44628275, -0.57485548, -1.16525366, -0.19930035,
       -0.16286102, -0.05386503,  0.0531204 ])]",3843.4921228273265,409.7277380528075,443.6738352775574,Error
7,8,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2048.8044995165214, -376.08766225031184, 1, 0, 0, 0, 0, 0, 0)","[array([-0.08727,  0.     ]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.01212897,  0.00687657]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.0254446 ,  0.12216723]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[0.04491974, 0.05519795]], dtype=float32)>]","[array([ 1.3055781 , -2.11759208,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([-0.30310174,  1.16260997, -2.70665001, -0.75181478,  0.81794265,
       -0.09465797, -0.01212897,  0.00687657]), array([-1.79662494e+00,  1.30630007e+00, -2.00091592e+00, -1.82133854e-03,
       -1.43400162e-02, -1.38179629e+00, -2.54446007e-02,  1.22167230e-01])]",1835.6280044322102,112.45860175091745,562.3409481048584,Error
8,9,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2237.394749128388, -127.03880205995256, 1, 0, 0, 0, 0, 0, 0)","[array([-0.08727,  0.     ]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.05524498,  0.00402948]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.06308026,  0.10429201]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.03190899,  0.11252998]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[0.02588655, 0.05968563]], dtype=float32)>]","[array([ 1.59167002, -0.37190757,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([ 0.70848513,  0.46258056, -0.92492035, -1.25915256,  0.78859566,
       -0.29042247, -0.05524498,  0.00402948]), array([-0.23216355,  0.70773762, -0.83789848, -0.83499491, -0.62177045,
       -1.21982464, -0.06308026,  0.10429201]), array([-1.5181699 ,  1.10780407, -1.83353133, -1.10993386, -0.62507122,
       -0.52555076, -0.03190899,  0.11252998])]",2587.793963823136,205.40046298754956,682.0704491138457,Error
9,10,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2137.8812328150416, -653.9287381828805, 1, 0, 0, 0, 0, 0, 0)","[array([-0.01745,  0.     ]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[0.03043226, 0.03479478]], dtype=float32)>]","[array([ 1.44070775, -4.06509291,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ])]",0.0,2235.6562705935403,86.33961486816406,Error
10,11,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2267.2467158714785, -186.2983865678821, 1, 0, 0, 0, 0, 0, 0)","[array([-0.05236,  0.     ]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.04854249, -0.00748625]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.07769106,  0.04156404]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.02561577,  0.15145484]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[0.00280296, 0.05082105]], dtype=float32)>]","[array([ 1.63695554, -0.78728204,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([ 0.69977209,  0.09184971, -0.52551945, -1.35046143,  1.28550581,
        0.20034732, -0.04854249, -0.00748625]), array([-0.09735934,  0.69275639, -0.34563986, -1.86023375, -0.06736472,
        0.44188336, -0.07769106,  0.04156404]), array([-1.60675475,  1.00529958, -2.70840775,  0.41480539, -0.6220281 ,
       -2.21383317, -0.02561577,  0.15145484])]",3515.5247063951388,146.52489264760106,733.7915902137756,End
11,12,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(1953.5653508267078, -219.34018049591972, 1, 0, 0, 0, 0, 0, 0)","[array([-0.03491,  0.     ]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.04147484, -0.00630652]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.06001206,  0.05157674]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.01441658,  0.09567745]], dtype=float32)>]","[array([ 1.16110006, -1.01888538,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([ 0.11209538,  0.01914009, -0.92353645, -1.08033947, -0.8727415 ,
       -0.26444255, -0.04147484, -0.00630652]), array([-0.76400083,  0.56578898, -0.68439389, -1.22052383,  0.15718902,
       -0.52838066, -0.06001206,  0.05157674])]",248.83934862073255,684.5825968282599,625.412704706192,End
12,13,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2099.94026062817, -647.8130329345549, 1, 0, 0, 0, 0, 0, 0)","[array([-0.01745,  0.     ]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[0.02979825, 0.03427082]], dtype=float32)>]","[array([ 1.38315119, -4.02222545,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ])]",0.0,2197.59205127953,99.35384106636049,Error
13,14,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2186.573521911233, -416.3634282652902, 1, 0, 0, 0, 0, 0, 0)","[array([-0.08727   ,  0.15855621]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.00526665,  0.01067144]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[0.04754081, 0.30872542]], dtype=float32)>]","[array([ 1.51457408, -2.39990126,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([-0.20931919,  4.0051163 , -4.62616394, -0.46606523,  2.36324434,
       -0.29846093, -0.00526665,  0.01067144])]",61.14327484373629,1162.0384063019883,269.42005443573,Error
14,15,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2223.6242393341045, -298.1800452205484, 1, 0, 0, 0, 0, 0, 0)","[array([-0.03491,  0.     ]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.02745419, -0.00347946]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.08042145,  0.02129963]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.03127722,  0.10232227]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[0.04504363, 0.04507476]], dtype=float32)>]","[array([ 1.57078012, -1.57150598,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([ 0.32727365, -0.1649054 , -1.36905581, -0.94030087,  0.01518462,
       -0.19508523, -0.02745419, -0.00347946]), array([-0.41850731,  0.43440778, -0.62543321, -1.43065902,  0.85654499,
       -0.4226804 , -0.08042145,  0.02129963]), array([-1.73931785,  1.00461417, -1.58649788, -1.73841823, -0.48793866,
        0.79664386, -0.03127722,  0.10232227])]",1196.8918977443157,80.88599124940133,450.56312823295593,Error
15,16,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2253.6159965711845, 108.2262418748029, 1, 0, 0, 0, 0, 0, 0)","[array([-0.06981   ,  0.15855621]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.00662702,  0.22450961]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.01887484,  0.30499485]], dtype=float32)>]","[array([ 1.6162777 ,  1.27716057,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([-1.10934896,  6.25599476, -5.98539931, -1.72812553,  0.20389316,
        2.33221202, -0.00662702,  0.22450961])]",10705.99653935758,937.4280043890333,305.54961800575256,Error
