id_camino,id_in_seq,current_state,goal_state,out_action,timesteps
0,0,"[0, 0, 1, 0, 0, 0]","[2241.0226978545484, -316.6574736610918, 1.461106981561492, 0.14508810023521587, -0.020133923443581062, -0.0007618137415040964]",4,378.4146974946769
0,1,"[495.9651783486855, -49.624823236903964, 1.3078058336710534, 0.16424410515379131, 0.06882998138032456, 5.6277848749595606e-05]","[2241.0226978545484, -316.6574736610918, 1.461106981561492, 0.14508810023521587, -0.020133923443581062, -0.0007618137415040964]",1,378.4146974946769
0,2,"[1366.2023571118884, -251.57055567204796, 2.5066685663734924, 0.08578874958222714, -0.1802705237507297, 0.0006636975141576562]","[2241.0226978545484, -316.6574736610918, 1.461106981561492, 0.14508810023521587, -0.020133923443581062, -0.0007618137415040964]",3,378.4146974946769
0,3,"[1948.8832282180383, -287.65426761611985, 1.3764628856810028, 0.14771080554078322, 0.06308919792945397, -0.002557286367197382]","[2241.0226978545484, -316.6574736610918, 1.461106981561492, 0.14508810023521587, -0.020133923443581062, -0.0007618137415040964]",3,378.4146974946769
1,0,"[0, 0, 1, 0, 0, 0]","[1640.3447633333371, -282.4358808297529, 2.053525741643703, 0.11532851005520865, -0.1086483907085271, 0.0036459037178812525]",6,378.4146974946769
1,1,"[424.66869475944657, -39.63812569408468, 1.111020655830407, 0.19596387810733978, 0.09799582187590113, 0.001137482808914173]","[1640.3447633333371, -282.4358808297529, 2.053525741643703, 0.11532851005520865, -0.1086483907085271, 0.0036459037178812525]",1,378.4146974946769
1,2,"[1293.2435069151445, -251.2718862636304, 2.5260540106746507, 0.0855479452771657, -0.1843875289016091, 0.0008168010995074806]","[1640.3447633333371, -282.4358808297529, 2.053525741643703, 0.11532851005520865, -0.1086483907085271, 0.0036459037178812525]",2,378.4146974946769
2,0,"[0, 0, 1, 0, 0, 0]","[1955.5756047416473, -216.44571701322386, 1.3016779211728424, 0.1509128803478872, 0.047023277052357815, -0.0044789167332228265]",4,378.4146974946769
2,1,"[495.9651783486855, -49.624823236903964, 1.3078058336710534, 0.16424410515379131, 0.06882998138032456, 5.6277848749595606e-05]","[1955.5756047416473, -216.44571701322386, 1.3016779211728424, 0.1509128803478872, 0.047023277052357815, -0.0044789167332228265]",2,378.4146974946769
2,2,"[1163.8404494032247, -136.70373128887158, 1.7299312907205968, 0.12109973282390259, -0.02477944171609483, -0.0009667252158254573]","[1955.5756047416473, -216.44571701322386, 1.3016779211728424, 0.1509128803478872, 0.047023277052357815, -0.0044789167332228265]",2,378.4146974946769
2,3,"[1835.9638922029565, -214.61856428447774, 1.7863951825741944, 0.11979940031766674, -0.04289270721055127, -0.00011069160822471621]","[1955.5756047416473, -216.44571701322386, 1.3016779211728424, 0.1509128803478872, 0.047023277052357815, -0.0044789167332228265]",3,378.4146974946769
3,0,"[0, 0, 1, 0, 0, 0]","[2203.5201780748926, -273.45114867993317, 1.7951070401775961, 0.11960399361202029, -0.04744097616610005, 1.8830190459221464e-05]",2,378.4146974946769
3,1,"[669.2287603240479, -95.75193694986872, 1.6797456046651493, 0.12236049247733556, -0.021983999122508584, -0.0017606134186559596]","[2203.5201780748926, -273.45114867993317, 1.7951070401775961, 0.11960399361202029, -0.04744097616610005, 1.8830190459221464e-05]",2,378.4146974946769
3,2,"[1341.1819870116638, -174.7395289260939, 1.7792229686063885, 0.11995453200902928, -0.0416263821905009, -0.00021851824618996014]","[2203.5201780748926, -273.45114867993317, 1.7951070401775961, 0.11960399361202029, -0.04744097616610005, 1.8830190459221464e-05]",2,378.4146974946769
3,3,"[2014.278279542434, -251.80475997461127, 1.7921819174183355, 0.11966904597606519, -0.04601994590176305, -2.465386875019774e-05]","[2203.5201780748926, -273.45114867993317, 1.7951070401775961, 0.11960399361202029, -0.04744097616610005, 1.8830190459221464e-05]",2,378.4146974946769
4,0,"[0, 0, 1, 0, 0, 0]","[2015.840782447206, 92.00403191924535, 0.9623229171341641, 0.18333121180830342, 0.009518613772928855, -0.01982263058194812]",16,378.4146974946769
