id,action_seq,current_state,goal_state,out_action
0,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[1987.2289180150535, 64.99358948693008, 1.9291261212721897, -0.009631192923083143, 0.23013721664567469, 0.04463927595351575, -0.03491, 0.19026745122925046, 9284.920634920636]",10
0,"[-1, -1, -1, -1, 10]","[660.1896135062101, -31.66802434354193, 1.7955340110872278, 0.21386291704626426, -0.1603392087354703, -0.04365342539118546, -0.05236, 0.12684496748616697, 1980.0]","[1987.2289180150535, 64.99358948693008, 1.9291261212721897, -0.009631192923083143, 0.23013721664567469, 0.04463927595351575, -0.03491, 0.19026745122925046, 9284.920634920636]",16
0,"[-1, -1, -1, 10, 16]","[1525.2841658420925, 7.0702736880989345, 1.9036724382795494, 0.20681658873042053, 0.1683269390354092, -0.05641658604455029, -0.03491, 0.1585562093577087, 5790.0]","[1987.2289180150535, 64.99358948693008, 1.9291261212721897, -0.009631192923083143, 0.23013721664567469, 0.04463927595351575, -0.03491, 0.19026745122925046, 9284.920634920636]",23
0,"[-1, -1, 10, 16, 23]","[1987.2289180150535, 64.99358948693008, 1.9291261212721897, -0.009631192923083143, 0.23013721664567469, 0.04463927595351575, -0.03491, 0.19026745122925046, 9284.920634920636]","[1987.2289180150535, 64.99358948693008, 1.9291261212721897, -0.009631192923083143, 0.23013721664567469, 0.04463927595351575, -0.03491, 0.19026745122925046, 9284.920634920636]",23
1,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[1880.5440584851553, -342.5601014522393, 2.405804143050062, 0.08732503031818185, -0.1375402845089132, -0.00017457815878606277, -0.01745, 0.0, 141.9047619047619]",2
1,"[-1, -1, -1, -1, 2]","[669.1997063306001, -95.64383125719326, 1.6894554012413938, 0.12209118068908624, -0.024539620129299368, -0.001610730136986043, -0.03491, 0, 60.0]","[1880.5440584851553, -342.5601014522393, 2.405804143050062, 0.08732503031818185, -0.1375402845089132, -0.00017457815878606277, -0.01745, 0.0, 141.9047619047619]",1
1,"[-1, -1, -1, 2, 1]","[1549.409413475973, -282.55213108812467, 2.474605500875075, 0.08626274620052186, -0.16755826824657133, 0.00040278448171390417, -0.01745, 0, 120.0]","[1880.5440584851553, -342.5601014522393, 2.405804143050062, 0.08732503031818185, -0.1375402845089132, -0.00017457815878606277, -0.01745, 0.0, 141.9047619047619]",1
1,"[-1, -1, 2, 1, 1]","[1880.5440584851553, -342.5601014522393, 2.405804143050062, 0.08732503031818185, -0.1375402845089132, -0.00017457815878606277, -0.01745, 0, 141.9047619047619]","[1880.5440584851553, -342.5601014522393, 2.405804143050062, 0.08732503031818185, -0.1375402845089132, -0.00017457815878606277, -0.01745, 0.0, 141.9047619047619]",1
2,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[2054.788057485821, -473.805282793441, 2.011758511619067, 0.11571537103540921, -0.1218950279455838, 0.003118937361503629, -0.03491, 0.0, 4975.952380952381]",19
2,"[-1, -1, -1, -1, 19]","[535.3258304576225, -13.417216627478174, 1.2467101800317468, 0.24414675792570573, 0.42569496160111236, -0.05232134767274729, -0.08727, 0.1585562093577087, 3810.0]","[2054.788057485821, -473.805282793441, 2.011758511619067, 0.11571537103540921, -0.1218950279455838, 0.003118937361503629, -0.03491, 0.0, 4975.952380952381]",14
2,"[-1, -1, -1, 19, 14]","[735.1689638300827, -204.85627327125425, 5.124617498648145, 0.17697575061331, -0.9967004551232094, -0.07092957267136961, -0.0, 0.1585562093577087, 4888.492063492064]","[2054.788057485821, -473.805282793441, 2.011758511619067, 0.11571537103540921, -0.1218950279455838, 0.003118937361503629, -0.03491, 0.0, 4975.952380952381]",1
2,"[-1, -1, 19, 14, 1]","[1749.2690747621555, -449.66421198295507, 2.454807082482426, 0.08709619575753325, -0.07258040886180878, 0.0001571427440537146, -0.01745, 0, 4948.492063492064]","[2054.788057485821, -473.805282793441, 2.011758511619067, 0.11571537103540921, -0.1218950279455838, 0.003118937361503629, -0.03491, 0.0, 4975.952380952381]",2
2,"[-1, 19, 14, 1, 2]","[2054.788057485821, -473.805282793441, 2.011758511619067, 0.11571537103540921, -0.1218950279455838, 0.003118937361503629, -0.03491, 0, 4975.952380952381]","[2054.788057485821, -473.805282793441, 2.011758511619067, 0.11571537103540921, -0.1218950279455838, 0.003118937361503629, -0.03491, 0.0, 4975.952380952381]",2
3,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[2065.9129388462343, 101.87866151641722, 1.4026948375798554, 0.15111215190519608, 0.46291869880275965, -0.0219889753413385, -0.05236, 0.12684496748616697, 11413.333333333334]",16
3,"[-1, -1, -1, -1, 16]","[855.4820158348386, 1.5888738691776723, 1.9347421324553293, 0.20327946863855656, 0.3590744756281868, -0.05523406628839869, -0.03491, 0.1585562093577087, 3810.0]","[2065.9129388462343, 101.87866151641722, 1.4026948375798554, 0.15111215190519608, 0.46291869880275965, -0.0219889753413385, -0.05236, 0.12684496748616697, 11413.333333333334]",23
3,"[-1, -1, -1, 16, 23]","[1716.8972390467338, 86.68247626490859, 2.5476812859519886, 0.21152870564243068, 0.37204527710573426, -0.053032880239901894, -0.03491, 0.19026745122925046, 10350.0]","[2065.9129388462343, 101.87866151641722, 1.4026948375798554, 0.15111215190519608, 0.46291869880275965, -0.0219889753413385, -0.05236, 0.12684496748616697, 11413.333333333334]",10
3,"[-1, -1, 16, 23, 10]","[2065.9129388462343, 101.87866151641722, 1.4026948375798554, 0.15111215190519608, 0.46291869880275965, -0.0219889753413385, -0.05236, 0.12684496748616697, 11413.333333333334]","[2065.9129388462343, 101.87866151641722, 1.4026948375798554, 0.15111215190519608, 0.46291869880275965, -0.0219889753413385, -0.05236, 0.12684496748616697, 11413.333333333334]",10
4,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[1918.054855593658, -10.45272005953518, 1.4216325395522162, 0.14583748665700258, 0.08144743814313851, -0.0014991433988385742, -0.05236, 0.0, 6651.746031746032]",3
4,"[-1, -1, -1, -1, 3]","[559.5548653512201, -64.43389144133145, 1.5469528870308702, 0.14278518106604685, -0.026724926328013165, 0.0011418132414958686, -0.05236, 0, 60.0]","[1918.054855593658, -10.45272005953518, 1.4216325395522162, 0.14583748665700258, 0.08144743814313851, -0.0014991433988385742, -0.05236, 0.0, 6651.746031746032]",23
4,"[-1, -1, -1, 3, 23]","[1441.2603542774568, 28.85524089195566, 1.8545293321019827, 0.20291807973424889, 0.4396088102381196, -0.0581767582135331, -0.03491, 0.19026745122925046, 6600.0]","[1918.054855593658, -10.45272005953518, 1.4216325395522162, 0.14583748665700258, 0.08144743814313851, -0.0014991433988385742, -0.05236, 0.0, 6651.746031746032]",3
4,"[-1, -1, 3, 23, 3]","[1918.054855593658, -10.45272005953518, 1.4216325395522162, 0.14583748665700258, 0.08144743814313851, -0.0014991433988385742, -0.05236, 0, 6651.746031746032]","[1918.054855593658, -10.45272005953518, 1.4216325395522162, 0.14583748665700258, 0.08144743814313851, -0.0014991433988385742, -0.05236, 0.0, 6651.746031746032]",3
5,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[1754.470919352298, -394.87716251079485, 1.230951331768374, 0.11921457575985261, 0.19571852900460213, -0.009906384390895223, -0.05236, 0.12684496748616697, 4718.571428571428]",20
5,"[-1, -1, -1, -1, 20]","[475.7263505971204, -23.4968915086083, 0.8835992900346865, 0.28584561686152615, 0.011800634369868227, -0.06944515422534021, -0.10472, 0.1585562093577087, 3810.0]","[1754.470919352298, -394.87716251079485, 1.230951331768374, 0.11921457575985261, 0.19571852900460213, -0.009906384390895223, -0.05236, 0.12684496748616697, 4718.571428571428]",7
5,"[-1, -1, -1, 20, 7]","[597.6863090247822, -164.89824203610226, 4.3620811974882985, 0.14488255136019598, -1.0082380987414572, -0.057335392828997155, -0.0, 0.12684496748616697, 4218.571428571428]","[1754.470919352298, -394.87716251079485, 1.230951331768374, 0.11921457575985261, 0.19571852900460213, -0.009906384390895223, -0.05236, 0.12684496748616697, 4718.571428571428]",1
5,"[-1, -1, 20, 7, 1]","[1598.689041513774, -422.5234688966301, 2.5023370389875788, 0.08651247758054471, -0.08574287571401379, 0.0005314239675281558, -0.01745, 0, 4278.571428571428]","[1754.470919352298, -394.87716251079485, 1.230951331768374, 0.11921457575985261, 0.19571852900460213, -0.009906384390895223, -0.05236, 0.12684496748616697, 4718.571428571428]",10
5,"[-1, 20, 7, 1, 10]","[1754.470919352298, -394.87716251079485, 1.230951331768374, 0.11921457575985261, 0.19571852900460213, -0.009906384390895223, -0.05236, 0.12684496748616697, 4718.571428571428]","[1754.470919352298, -394.87716251079485, 1.230951331768374, 0.11921457575985261, 0.19571852900460213, -0.009906384390895223, -0.05236, 0.12684496748616697, 4718.571428571428]",10
6,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[1651.0977420164684, -471.1060352612656, 2.46005028294285, 0.08702935252329609, -0.07426098198251274, 0.0001988319191046012, -0.01745, 0.0, 2926.984126984127]",13
6,"[-1, -1, -1, -1, 13]","[468.4206584664301, -43.43202982021182, 1.1035292157937793, 0.2557114707116738, -0.0025439180856341352, -0.046480291421633034, -0.10472, 0.12684496748616697, 1980.0]","[1651.0977420164684, -471.1060352612656, 2.46005028294285, 0.08702935252329609, -0.07426098198251274, 0.0001988319191046012, -0.01745, 0.0, 2926.984126984127]",14
6,"[-1, -1, -1, 13, 14]","[638.7939292502251, -225.6396178428961, 5.019125733140437, 0.1752293066471358, -0.9932662305607918, -0.0707075635882641, -0.0, 0.1585562093577087, 2866.984126984127]","[1651.0977420164684, -471.1060352612656, 2.46005028294285, 0.08702935252329609, -0.07426098198251274, 0.0001988319191046012, -0.01745, 0.0, 2926.984126984127]",1
6,"[-1, -1, 13, 14, 1]","[1651.0977420164684, -471.1060352612656, 2.46005028294285, 0.08702935252329609, -0.07426098198251274, 0.0001988319191046012, -0.01745, 0, 2926.984126984127]","[1651.0977420164684, -471.1060352612656, 2.46005028294285, 0.08702935252329609, -0.07426098198251274, 0.0001988319191046012, -0.01745, 0.0, 2926.984126984127]",1
7,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[1950.00907755493, 69.63072196305917, 0.9794327527994113, 0.1681442158883462, -0.09827959988433561, -0.019365362317503302, -0.03491, 0.0, 10364.285714285714]",18
7,"[-1, -1, -1, -1, 18]","[594.1619586397131, -22.682788913521126, 2.2158436295201587, 0.25147771347201087, 0.1895411531924279, -0.039919798955651065, -0.06981, 0.1585562093577087, 3810.0]","[1950.00907755493, 69.63072196305917, 0.9794327527994113, 0.1681442158883462, -0.09827959988433561, -0.019365362317503302, -0.03491, 0.0, 10364.285714285714]",22
7,"[-1, -1, -1, 18, 22]","[1790.728148082761, 31.202247656236022, 3.3030648265064437, 0.19984565737070703, 0.05189023399819103, -0.06025081309841362, -0.01745, 0.19026745122925046, 10350.0]","[1950.00907755493, 69.63072196305917, 0.9794327527994113, 0.1681442158883462, -0.09827959988433561, -0.019365362317503302, -0.03491, 0.0, 10364.285714285714]",2
7,"[-1, -1, 18, 22, 2]","[1950.00907755493, 69.63072196305917, 0.9794327527994113, 0.1681442158883462, -0.09827959988433561, -0.019365362317503302, -0.03491, 0, 10364.285714285714]","[1950.00907755493, 69.63072196305917, 0.9794327527994113, 0.1681442158883462, -0.09827959988433561, -0.019365362317503302, -0.03491, 0.0, 10364.285714285714]",2
8,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[1632.1453074795904, -133.09423807360199, 1.289824540241566, 0.1253670964674399, 0.22106569676443386, -0.011411883061215704, -0.05236, 0.12684496748616697, 1033.8095238095239]",4
8,"[-1, -1, -1, -1, 4]","[495.67843612849117, -49.49751656684203, 1.3081845979602265, 0.164208140350529, 0.06230009573395152, 1.290015289318695e-05, -0.06981, 0, 60.0]","[1632.1453074795904, -133.09423807360199, 1.289824540241566, 0.1253670964674399, 0.22106569676443386, -0.011411883061215704, -0.05236, 0.12684496748616697, 1033.8095238095239]",6
8,"[-1, -1, -1, 4, 6]","[920.8659087271426, -84.00217019662409, 1.1006348033693232, 0.1983733284959621, 0.0774135372517683, -0.0003249291834651672, -0.10472, 0, 120.0]","[1632.1453074795904, -133.09423807360199, 1.289824540241566, 0.1253670964674399, 0.22106569676443386, -0.011411883061215704, -0.05236, 0.12684496748616697, 1033.8095238095239]",6
8,"[-1, -1, 4, 6, 6]","[1341.2576651200768, -121.37403752394177, 1.1014350244836801, 0.19765830163275283, 0.08965179964423528, -9.042497155288668e-06, -0.10472, 0, 180.0]","[1632.1453074795904, -133.09423807360199, 1.289824540241566, 0.1253670964674399, 0.22106569676443386, -0.011411883061215704, -0.05236, 0.12684496748616697, 1033.8095238095239]",10
8,"[-1, 4, 6, 6, 10]","[1632.1453074795904, -133.09423807360199, 1.289824540241566, 0.1253670964674399, 0.22106569676443386, -0.011411883061215704, -0.05236, 0.12684496748616697, 1033.8095238095239]","[1632.1453074795904, -133.09423807360199, 1.289824540241566, 0.1253670964674399, 0.22106569676443386, -0.011411883061215704, -0.05236, 0.12684496748616697, 1033.8095238095239]",10
9,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[1918.8309174180117, -429.5859421438599, 1.108865832287952, 0.17111917300923077, 0.4700381632172411, 0.00021076617339080888, -0.08727, 0.0, 4432.380952380952]",19
9,"[-1, -1, -1, -1, 19]","[535.3258304576225, -13.417216627478174, 1.2467101800317468, 0.24414675792570573, 0.42569496160111236, -0.05232134767274729, -0.08727, 0.1585562093577087, 3810.0]","[1918.8309174180117, -429.5859421438599, 1.108865832287952, 0.17111917300923077, 0.4700381632172411, 0.00021076617339080888, -0.08727, 0.0, 4432.380952380952]",7
9,"[-1, -1, -1, 19, 7]","[712.299948930351, -176.3956943379082, 4.641417800072349, 0.11079567225886529, -1.0357093497506742, -0.0375632594310774, -0.0, 0.12684496748616697, 4349.523809523809]","[1918.8309174180117, -429.5859421438599, 1.108865832287952, 0.17111917300923077, 0.4700381632172411, 0.00021076617339080888, -0.08727, 0.0, 4432.380952380952]",1
9,"[-1, -1, 19, 7, 1]","[1718.5889625629866, -435.4392859696313, 2.4930602015415984, 0.08663332021195305, -0.08093189724049872, 0.00045744520305379297, -0.01745, 0, 4409.523809523809]","[1918.8309174180117, -429.5859421438599, 1.108865832287952, 0.17111917300923077, 0.4700381632172411, 0.00021076617339080888, -0.08727, 0.0, 4432.380952380952]",5
9,"[-1, 19, 7, 1, 5]","[1918.8309174180117, -429.5859421438599, 1.108865832287952, 0.17111917300923077, 0.4700381632172411, 0.00021076617339080888, -0.08727, 0, 4432.380952380952]","[1918.8309174180117, -429.5859421438599, 1.108865832287952, 0.17111917300923077, 0.4700381632172411, 0.00021076617339080888, -0.08727, 0.0, 4432.380952380952]",5
10,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[1970.2402223555052, -202.47013643353836, 0.9433909605012607, 0.2314781280542105, 0.057135786263485686, -0.020712803924414526, -0.10472, 0.0, 203.1746031746032]",3
10,"[-1, -1, -1, -1, 3]","[559.5548653512201, -64.43389144133145, 1.5469528870308702, 0.14278518106604685, -0.026724926328013165, 0.0011418132414958686, -0.05236, 0, 60.0]","[1970.2402223555052, -202.47013643353836, 0.9433909605012607, 0.2314781280542105, 0.057135786263485686, -0.020712803924414526, -0.10472, 0.0, 203.1746031746032]",3
10,"[-1, -1, -1, 3, 3]","[1124.3644028656402, -116.76327381860509, 1.4924470372333118, 0.14417270960644138, 0.007434920652117086, -1.944946186530516e-05, -0.05236, 0, 120.0]","[1970.2402223555052, -202.47013643353836, 0.9433909605012607, 0.2314781280542105, 0.057135786263485686, -0.020712803924414526, -0.10472, 0.0, 203.1746031746032]",2
10,"[-1, -1, 3, 3, 2]","[1794.784179082102, -199.7633359740366, 1.7573918580526289, 0.12043874049282288, -0.03585262662101684, -0.0005515108558843222, -0.03491, 0, 180.0]","[1970.2402223555052, -202.47013643353836, 0.9433909605012607, 0.2314781280542105, 0.057135786263485686, -0.020712803924414526, -0.10472, 0.0, 203.1746031746032]",6
10,"[-1, 3, 3, 2, 6]","[1970.2402223555052, -202.47013643353836, 0.9433909605012607, 0.2314781280542105, 0.057135786263485686, -0.020712803924414526, -0.10472, 0, 203.1746031746032]","[1970.2402223555052, -202.47013643353836, 0.9433909605012607, 0.2314781280542105, 0.057135786263485686, -0.020712803924414526, -0.10472, 0.0, 203.1746031746032]",6
11,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[1736.0887113204087, -467.1023033612411, 1.602068346479142, 0.21239158708336692, -0.5430946183627009, -0.012774373220626512, -0.10472, 0.12684496748616697, 1104.7619047619046]",5
11,"[-1, -1, -1, -1, 5]","[449.21176849063545, -42.10344607264775, 1.163934494883552, 0.18253539385567596, 0.05752902384461152, -0.0006674080431381201, -0.08727, 0, 60.0]","[1736.0887113204087, -467.1023033612411, 1.602068346479142, 0.21239158708336692, -0.5430946183627009, -0.012774373220626512, -0.10472, 0.12684496748616697, 1104.7619047619046]",7
11,"[-1, -1, -1, 5, 7]","[630.2319016919296, -222.54339814290844, 4.776623588550724, 0.11960202741270044, -1.0253800311111512, -0.04163528281256516, -0.0, 0.12684496748616697, 557.6190476190476]","[1736.0887113204087, -467.1023033612411, 1.602068346479142, 0.21239158708336692, -0.5430946183627009, -0.012774373220626512, -0.10472, 0.12684496748616697, 1104.7619047619046]",1
11,"[-1, -1, 5, 7, 1]","[1638.8159778691534, -477.55983750235964, 2.482439751002971, 0.08675999291388588, -0.07848991233167689, 0.0003744081572043099, -0.01745, 0, 617.6190476190476]","[1736.0887113204087, -467.1023033612411, 1.602068346479142, 0.21239158708336692, -0.5430946183627009, -0.012774373220626512, -0.10472, 0.12684496748616697, 1104.7619047619046]",13
11,"[-1, 5, 7, 1, 13]","[1736.0887113204087, -467.1023033612411, 1.602068346479142, 0.21239158708336692, -0.5430946183627009, -0.012774373220626512, -0.10472, 0.12684496748616697, 1104.7619047619046]","[1736.0887113204087, -467.1023033612411, 1.602068346479142, 0.21239158708336692, -0.5430946183627009, -0.012774373220626512, -0.10472, 0.12684496748616697, 1104.7619047619046]",13
12,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[1802.0655637660104, -403.2117513134843, 1.6128721077895414, 0.10872847388793629, -0.2595130659620961, 0.014358817706569037, -0.05236, 0.12684496748616697, 4907.142857142857]",20
12,"[-1, -1, -1, -1, 20]","[475.7263505971204, -23.4968915086083, 0.8835992900346865, 0.28584561686152615, 0.011800634369868227, -0.06944515422534021, -0.10472, 0.1585562093577087, 3810.0]","[1802.0655637660104, -403.2117513134843, 1.6128721077895414, 0.10872847388793629, -0.2595130659620961, 0.014358817706569037, -0.05236, 0.12684496748616697, 4907.142857142857]",7
12,"[-1, -1, -1, 20, 7]","[597.6863090247822, -164.89824203610226, 4.3620811974882985, 0.14488255136019598, -1.0082380987414572, -0.057335392828997155, -0.0, 0.12684496748616697, 4218.571428571428]","[1802.0655637660104, -403.2117513134843, 1.6128721077895414, 0.10872847388793629, -0.2595130659620961, 0.014358817706569037, -0.05236, 0.12684496748616697, 4907.142857142857]",1
12,"[-1, -1, 20, 7, 1]","[1598.689041513774, -422.5234688966301, 2.5023370389875788, 0.08651247758054471, -0.08574287571401379, 0.0005314239675281558, -0.01745, 0, 4278.571428571428]","[1802.0655637660104, -403.2117513134843, 1.6128721077895414, 0.10872847388793629, -0.2595130659620961, 0.014358817706569037, -0.05236, 0.12684496748616697, 4907.142857142857]",10
12,"[-1, 20, 7, 1, 10]","[1802.0655637660104, -403.2117513134843, 1.6128721077895414, 0.10872847388793629, -0.2595130659620961, 0.014358817706569037, -0.05236, 0.12684496748616697, 4907.142857142857]","[1802.0655637660104, -403.2117513134843, 1.6128721077895414, 0.10872847388793629, -0.2595130659620961, 0.014358817706569037, -0.05236, 0.12684496748616697, 4907.142857142857]",10
13,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[1665.8811873824513, -412.4928142487102, 3.1565906645324175, -0.04342690716022686, -0.23779095982318252, 0.04585800926798385, -0.01745, 0.12684496748616697, 4022.857142857143]",12
13,"[-1, -1, -1, -1, 12]","[521.6991481966794, -36.3796854484542, 1.277150156224498, 0.23864948195191252, 0.18847543804666092, -0.043669766048718625, -0.08727, 0.12684496748616697, 1980.0]","[1665.8811873824513, -412.4928142487102, 3.1565906645324175, -0.04342690716022686, -0.23779095982318252, 0.04585800926798385, -0.01745, 0.12684496748616697, 4022.857142857143]",7
13,"[-1, -1, -1, 12, 7]","[747.6956098814658, -258.4747469817822, 5.0829915470309865, 0.10164201284273593, -1.0388615780742743, -0.03312184331066182, -0.0, 0.12684496748616697, 2561.4285714285716]","[1665.8811873824513, -412.4928142487102, 3.1565906645324175, -0.04342690716022686, -0.23779095982318252, 0.04585800926798385, -0.01745, 0.12684496748616697, 4022.857142857143]",8
13,"[-1, -1, 12, 7, 8]","[1665.8811873824513, -412.4928142487102, 3.1565906645324175, -0.04342690716022686, -0.23779095982318252, 0.04585800926798385, -0.01745, 0.12684496748616697, 4022.857142857143]","[1665.8811873824513, -412.4928142487102, 3.1565906645324175, -0.04342690716022686, -0.23779095982318252, 0.04585800926798385, -0.01745, 0.12684496748616697, 4022.857142857143]",8
14,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[1953.436797792402, -500.11895571978175, 2.4248462235083155, 0.08673916629191415, -0.17807699456024786, 3.05618019945705e-05, -0.01745, 0.0, 3429.047619047619]",13
14,"[-1, -1, -1, -1, 13]","[468.4206584664301, -43.43202982021182, 1.1035292157937793, 0.2557114707116738, -0.0025439180856341352, -0.046480291421633034, -0.10472, 0.12684496748616697, 1980.0]","[1953.436797792402, -500.11895571978175, 2.4248462235083155, 0.08673916629191415, -0.17807699456024786, 3.05618019945705e-05, -0.01745, 0.0, 3429.047619047619]",21
14,"[-1, -1, -1, 13, 21]","[620.8241758814947, -199.48269512982785, 5.017121080304076, 0.19279155265565023, -0.9977599990930632, -0.07843308899434911, -0.0, 0.19026745122925046, 3346.8253968253966]","[1953.436797792402, -500.11895571978175, 2.4248462235083155, 0.08673916629191415, -0.17807699456024786, 3.05618019945705e-05, -0.01745, 0.0, 3429.047619047619]",1
14,"[-1, -1, 13, 21, 1]","[1633.2101788870589, -446.34701050811424, 2.46193629594454, 0.08700750271938354, -0.07430935546962007, 0.00021351227446880664, -0.01745, 0, 3406.8253968253966]","[1953.436797792402, -500.11895571978175, 2.4248462235083155, 0.08673916629191415, -0.17807699456024786, 3.05618019945705e-05, -0.01745, 0.0, 3429.047619047619]",1
14,"[-1, 13, 21, 1, 1]","[1953.436797792402, -500.11895571978175, 2.4248462235083155, 0.08673916629191415, -0.17807699456024786, 3.05618019945705e-05, -0.01745, 0, 3429.047619047619]","[1953.436797792402, -500.11895571978175, 2.4248462235083155, 0.08673916629191415, -0.17807699456024786, 3.05618019945705e-05, -0.01745, 0.0, 3429.047619047619]",1
15,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[2002.619236807476, 99.81611650339502, 1.8347356100689016, 0.07250275559839592, 0.03720884096065286, 0.02157292725199953, -0.03491, 0.1585562093577087, 11080.15873015873]",11
