id_camino,id_in_seq,current_state,goal_state,out_action,timesteps
0,0,"[0, 0, 1, 0, 0, 0]","[1947.8924211857432, -587.9938507333063, 3.250678076369663, 0.04035608288620998, -0.5800761493798068, -0.004406794283244493]",12,378.4146974946769
0,1,"[521.6991481966794, -36.3796854484542, 1.277150156224498, 0.23864948195191252, 0.18847543804666092, -0.043669766048718625]","[1947.8924211857432, -587.9938507333063, 3.250678076369663, 0.04035608288620998, -0.5800761493798068, -0.004406794283244493]",7,378.4146974946769
0,2,"[747.6956098814658, -258.4747469817822, 5.0829915470309865, 0.10164201284273593, -1.0388615780742743, -0.03312184331066182]","[1947.8924211857432, -587.9938507333063, 3.250678076369663, 0.04035608288620998, -0.5800761493798068, -0.004406794283244493]",1,378.4146974946769
0,3,"[1761.6179985230328, -512.0898226707875, 2.468094766897108, 0.08694038691554547, -0.07346317088389896, 0.000260831043379488]","[1947.8924211857432, -587.9938507333063, 3.250678076369663, 0.04035608288620998, -0.5800761493798068, -0.004406794283244493]",0,378.4146974946769
1,0,"[0, 0, 1, 0, 0, 0]","[1961.4586372533797, -383.492625039799, 1.441829652092143, 0.1303193965598925, 0.02621994174507216, -0.005913661415641224]",1,378.4146974946769
1,1,"[871.6584082737479, -218.96540110494502, 2.5382788578932645, 0.08544384351349288, -0.18326253989865432, 0.0009103407834252284]","[1961.4586372533797, -383.492625039799, 1.441829652092143, 0.1303193965598925, 0.02621994174507216, -0.005913661415641224]",1,378.4146974946769
1,2,"[1777.5969112914088, -383.9561637862182, 2.4238382450755775, 0.08706895214097367, -0.14196386366838945, -2.6537832646002247e-05]","[1961.4586372533797, -383.492625039799, 1.441829652092143, 0.1303193965598925, 0.02621994174507216, -0.005913661415641224]",2,378.4146974946769
2,0,"[0, 0, 1, 0, 0, 0]","[1860.7324516273973, 61.200025734627516, 1.5112902404518098, 0.2166291352020926, -0.017695422646402097, -0.0652166917124324]",23,378.4146974946769
2,1,"[875.5712201496261, 52.15666468121016, 1.9206063573750132, 0.1951827509221929, 0.6554948851036803, -0.05562713203727342]","[1860.7324516273973, 61.200025734627516, 1.5112902404518098, 0.2166291352020926, -0.017695422646402097, -0.0652166917124324]",4,378.4146974946769
2,2,"[1373.3180389323159, 11.566483856097824, 1.3837088489223117, 0.1615454201454793, 0.1072679235955196, 0.0022399962785135978]","[1860.7324516273973, 61.200025734627516, 1.5112902404518098, 0.2166291352020926, -0.017695422646402097, -0.0652166917124324]",23,378.4146974946769
