actions,cost,distance,p_id,states,target,time,xz_distance,mean_error
"[[-0.05236, 0.0, 31.53455812455641], [-0.08727, 0.0, 31.53455812455641], [-0.05236, 0.0, 31.53455812455641], [-0.05236, 0.0, 31.53455812455641], [-0.05236, 0.0, 31.53455812455641], [-0.05236, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641]]",44.80970504,8.158722939,0,"[(0.0, 0.0, 4.257165346815115, 0.0, 0, 0), (4.745068697222255, -1.2437566999243914, 5.915146749566081, 0.6180499312841097, -0.22818002319939584, -0.0024229349712786208), (11.1811862486643, -2.376343797293254, 6.547207513085072, 0.7455292839889492, 0.12245759651839695, 0.011429434240834094), (17.219450056664538, -2.3279013525305268, 5.61147736507968, 0.6384856672030733, 0.07204747506147337, -0.003967205008279254), (22.845249495528996, -2.938749403260849, 5.852516768870977, 0.6299544479552068, -0.05517758586641803, -0.0028588252249927295), (29.03672261483147, -4.0305861408887775, 6.654721141601315, 0.6051213476142185, -0.07429824875183631, 0.0014444745245905646), (35.8429943147462, -4.901830691199179, 6.894999225586061, 0.6012846548180764, 0.0010324290598599205, 0.0026673429423479333), (42.73687515853814, -5.723582989780465, 7.088988386621065, 0.5216890786401202, -0.08160940259319278, -0.0020228320208487242), (50.02846236659235, -6.9850975204611325, 7.702367156530444, 0.50639066091508, -0.10972206434238271, 0.00024046644285778327), (57.561982338489926, -8.207889942121284, 8.083706912399453, 0.5004897015634208, -0.07916099129288988, 0.0015286812812202622)]","[57.567204330408806, -7.227249063128963, 0, 0, 0, 0]",0.031228435,0.980654783,2.027483408
"[[-0.0, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641]]",24.80019029,13.14741091,1,"[(0.0, 0.0, 4.257165346815115, 0.0, 0, 0), (4.83359374299332, -1.956144729726941, 7.023492212473483, 0.332506851115255, -0.5321053656341397, -0.01198471940855843), (12.372279371580733, -7.233444356472296, 11.197549274327296, 0.3278740088241256, -0.5645339019823639, 0.0027356080372407726), (23.228226190020074, -13.51172436146843, 13.55937094427288, 0.33491770532918774, -0.4204654156306135, 0.005765728648802105), (36.206785763486664, -18.262881140960445, 13.836659346318942, 0.3462748588709712, -0.23296957104745603, 0.005745803453231291), (48.80958151084373, -20.563564579505925, 12.742580126150218, 0.353842601970068, -0.08266389787535273, 0.003984571300682386)]","[48.81121560345746, -17.346577034386513, 0, 0, 0, 0]",0.018789139,3.21698796,0.604256463
"[[-0.08727, 0.0, 31.53455812455641], [-0.08727, 0.0, 31.53455812455641], [-0.08727, 0.0, 31.53455812455641], [-0.08727, 0.0, 31.53455812455641], [-0.08727, 0.0, 31.53455812455641], [-0.08727, 0.0, 31.53455812455641], [-0.08727, 0.0, 31.53455812455641], [-0.08727, 0.0, 31.53455812455641], [-0.08727, 0.0, 31.53455812455641], [-0.08727, 0.0, 31.53455812455641], [-0.05236, 0.0, 31.53455812455641], [-0.08727, 0.0, 31.53455812455641], [-0.05236, 0.0, 31.53455812455641]]",62.94005709,5.555056887,2,"[(0.0, 0.0, 4.257165346815115, 0.0, 0, 0), (4.646300694829413, -0.9288265457656706, 5.3189225978776316, 0.7632488542210144, -0.0659040231615018, 0.0020554660519761674), (10.279469424121674, -1.6750905088618984, 5.687910758809455, 0.7547629264746634, 0.08421981011775263, 0.005324638323115884), (15.616750319786494, -1.6928324010736198, 4.822522645234317, 0.7768661295367164, 0.16195917248740377, -0.001243755445614223), (20.257663711758752, -1.970676314203565, 4.5928421279505365, 0.7946911395178458, 0.04165570951798995, -0.004121769605910526), (25.170453132027895, -2.7258428523804517, 5.247358863304302, 0.7668642802376254, 0.0006384297912681819, 0.0015986300559152772), (30.559103041962658, -3.267468930309012, 5.338021031141986, 0.7628909489443848, 0.08640279967608512, 0.0026356830010171254), (35.7107484211927, -3.4736410001211495, 4.863120914732568, 0.7785115804475116, 0.11229545810145122, -0.0012065956930329958), (40.53705650005291, -3.864980878092484, 4.8243226512520625, 0.7829125212423002, 0.046715090267865404, -0.0019041980221488977), (45.554792645956766, -4.479061611668046, 5.169471015217323, 0.7693316703452253, 0.033962998594733056, 0.001054534806890426), (50.79473213531643, -4.948442473680625, 5.1716504600214055, 0.7681827729753349, 0.08082756122922094, 0.001261274041091604), (56.126761416234515, -5.726102218276447, 5.799092435644326, 0.6307391515736557, -0.10302670379388398, -0.0032113710972865605), (62.14155114809705, -6.374407368359551, 5.853801622955088, 0.7500802047688775, 0.1381777737519343, 0.00674240707969113), (65.45239147001682, -6.401377194268045, 5.430755011692214, 0.6469805940239362, 0.06567161250124191, -0.005092220048036502)]","[65.45650918893115, -5.43049229897531, 0, 0, 0, 0]",0.044100215,0.970893627,0.638112584
"[[-0.0, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641], [-0.0, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641], [-0.05236, 0.0, 31.53455812455641]]",27.61655566,10.83631014,3,"[(0.0, 0.0, 4.257165346815115, 0.0, 0, 0), (4.83359374299332, -1.956144729726941, 7.023492212473483, 0.332506851115255, -0.5321053656341397, -0.01198471940855843), (12.372279371580733, -7.233444356472296, 11.197549274327296, 0.3278740088241256, -0.5645339019823639, 0.0027356080372407726), (23.542173172121124, -11.875390832646731, 12.464853132393936, 0.4878313849060076, -0.14387558901677358, 0.013533686999395908), (35.45580936574809, -15.069270591439368, 12.565003814992124, 0.20800589592630125, -0.3419279527014634, -0.0059630264979553035), (47.56335700444633, -17.102412131593134, 11.573349518989273, 0.48591045546024925, 0.07818632555066314, 0.01135906794374555), (53.04385208392214, -16.143281473672545, 9.59619504495319, 0.574797606453968, 0.37119133413778393, 0.014509156850548495)]","[53.04666590815438, -11.15627190194964, 0, 0, 0, 0]",0.029158429,4.987010366,1.331379852
"[[-0.0, 0.0, 31.53455812455641], [-0.0, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641], [-0.0, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641]]",24.38154139,13.33140728,4,"[(0.0, 0.0, 4.257165346815115, 0.0, 0, 0), (4.83359374299332, -1.956144729726941, 7.023492212473483, 0.332506851115255, -0.5321053656341397, -0.01198471940855843), (11.979867312536655, -8.052150652242604, 11.837087637947024, 0.17058715791724038, -0.7729230202912865, -0.004711596121477775), (23.23865560849328, -14.919228101140556, 13.975820497456986, 0.4957630173973148, -0.25219182012403, 0.01712983669920827), (36.36327197963175, -19.665958630664747, 14.213479525399434, 0.18227434271405815, -0.41126348818203723, -0.004748752701015569), (48.208962749275464, -22.167614129643784, 13.11026160188208, 0.4952813744178588, 0.05793834081528289, 0.014980795175066479)]","[48.214939490988144, -19.801490657199167, 0, 0, 0, 0]",0.02489716,2.366131021,1.192408086
"[[-0.05236, 0.0, 31.53455812455641], [-0.05236, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641], [-0.0, 0.0, 31.53455812455641], [-0.06981, 0.0, 31.53455812455641]]",34.29590866,8.809463173,5,"[(0.0, 0.0, 4.257165346815115, 0.0, 0, 0), (4.745068697222255, -1.2437566999243914, 5.915146749566081, 0.6180499312841097, -0.22818002319939584, -0.0024229349712786208), (11.413287187173996, -3.2286208003297543, 7.716290207938156, 0.5863441176240125, -0.13762325519833657, 0.006390388872633141), (19.344324435113958, -4.684804757056733, 8.286528193180866, 0.49708792294376086, -0.09170843850958782, 0.0021984412107229944), (27.571205797865982, -5.648892657051463, 8.165756444407254, 0.5001408896692795, -0.023434168377686932, 0.0018032925501616705), (35.47720320218804, -6.180277113183978, 7.645822481785346, 0.5094057179366829, 0.0075366320637598365, 6.6592729197717e-05), (43.15810189831722, -7.937807953300269, 8.705087871235248, 0.29090545725567996, -0.35244091008321626, -0.009809528691926037), (50.75090799535776, -9.230116975456715, 8.694961558135807, 0.6775941166481525, 0.16043350123874692, 0.01737818909271913)]","[50.755477685109106, -7.997603559062214, 0, 0, 0, 0]",0.027214952,1.232521888,0.407487173
"[[-0.05236, 0.0, 31.53455812455641], [-0.08727, 0.0, 31.53455812455641], [-0.05236, 0.0, 31.53455812455641], [-0.05236, 0.0, 31.53455812455641], [-0.05236, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641]]",43.56327307,9.600461802,6,"[(0.0, 0.0, 4.257165346815115, 0.0, 0, 0), (4.745068697222255, -1.2437566999243914, 5.915146749566081, 0.6180499312841097, -0.22818002319939584, -0.0024229349712786208), (11.1811862486643, -2.376343797293254, 6.547207513085072, 0.7455292839889492, 0.12245759651839695, 0.011429434240834094), (17.219450056664538, -2.3279013525305268, 5.61147736507968, 0.6384856672030733, 0.07204747506147337, -0.003967205008279254), (22.845249495528996, -2.938749403260849, 5.852516768870977, 0.6299544479552068, -0.05517758586641803, -0.0028588252249927295), (29.03672261483147, -4.0305861408887775, 6.654721141601315, 0.6051213476142185, -0.07429824875183631, 0.0014444745245905646), (35.98382542078714, -5.378833380087453, 7.529611929319371, 0.508705991881004, -0.14123803566544976, -0.00034964305552203246), (43.77658299822681, -6.909644220251853, 8.245722606954285, 0.49714814371600446, -0.10816862796232397, 0.002075057800740719), (52.16390800220525, -8.76148808232674, 9.070327555666378, 0.3860685656330099, -0.22042021668291323, -0.0024114694672584995), (58.66074320096968, -10.159128968718578, 9.442860821383109, 0.48572314990876125, -0.09784437044726425, 0.0057164667084820524)]","[58.66248155311308, -8.49909580156482, 0, 0, 0, 0]",0.033424507,1.660034077,1.639165001
"[[-0.0, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641]]",24.13415794,12.55997877,7,"[(0.0, 0.0, 4.257165346815115, 0.0, 0, 0), (4.83359374299332, -1.956144729726941, 7.023492212473483, 0.332506851115255, -0.5321053656341397, -0.01198471940855843), (12.372279371580733, -7.233444356472296, 11.197549274327296, 0.3278740088241256, -0.5645339019823639, 0.0027356080372407726), (23.228226190020074, -13.51172436146843, 13.55937094427288, 0.33491770532918774, -0.4204654156306135, 0.005765728648802105), (36.206785763486664, -18.262881140960445, 13.836659346318942, 0.3462748588709712, -0.23296957104745603, 0.005745803453231291), (46.95065650173802, -19.018123544401593, 11.98358398688168, 0.48612939949682576, 0.1578582586729469, 0.01244145776460739)]","[46.95093257513877, -15.291813618336832, 0, 0, 0, 0]",0.02037371,3.726309936,0.485414025
"[[-0.08727, 0.0, 31.53455812455641], [-0.08727, 0.0, 31.53455812455641], [-0.08727, 0.0, 31.53455812455641], [-0.08727, 0.0, 31.53455812455641], [-0.08727, 0.0, 31.53455812455641], [-0.08727, 0.0, 31.53455812455641], [-0.05236, 0.0, 31.53455812455641], [-0.05236, 0.0, 31.53455812455641], [-0.05236, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641], [-0.05236, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.08727, 0.0, 31.53455812455641]]",60,7.588848886,8,"[(0.0, 0.0, 4.257165346815115, 0.0, 0, 0), (4.646300694829413, -0.9288265457656706, 5.3189225978776316, 0.7632488542210144, -0.0659040231615018, 0.0020554660519761674), (10.279469424121674, -1.6750905088618984, 5.687910758809455, 0.7547629264746634, 0.08421981011775263, 0.005324638323115884), (15.616750319786494, -1.6928324010736198, 4.822522645234317, 0.7768661295367164, 0.16195917248740377, -0.001243755445614223), (20.257663711758752, -1.970676314203565, 4.5928421279505365, 0.7946911395178458, 0.04165570951798995, -0.004121769605910526), (25.170453132027895, -2.7258428523804517, 5.247358863304302, 0.7668642802376254, 0.0006384297912681819, 0.0015986300559152772), (30.559103041962658, -3.267468930309012, 5.338021031141986, 0.7628909489443848, 0.08640279967608512, 0.0026356830010171254), (35.976290642170426, -3.945624028906698, 5.764719251750047, 0.6328621272412375, -0.081311722586595, -0.0034030331505513676), (42.181537901249484, -5.201663198923586, 6.804833769474803, 0.6012229164008447, -0.0937085463643636, 0.0021862173681960495), (49.15321932326208, -6.120275985926842, 7.047613227370539, 0.5985885522107122, 0.007521867030785466, 0.0033932446592212194), (56.13647016210785, -6.850354205997051, 7.086584571056233, 0.5221270161385564, -0.06510317745391113, -0.0020299784749185402), (63.20783751467042, -7.495385218744379, 6.915850280357584, 0.6006145656696426, 0.04741161939800061, 0.0028354131594125827), (70.1042238500376, -8.521939437987388, 7.418215307428781, 0.42979340832428864, -0.20148480707934993, -0.006533435141777941)]","[71.17052662063887, -7.427249395801, 0, 0, 0, 0]",0.049780626,1.528184507,1.009217938
"[[-0.0, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641]]",21.64129401,12.07652146,9,"[(0.0, 0.0, 4.257165346815115, 0.0, 0, 0), (4.83359374299332, -1.956144729726941, 7.023492212473483, 0.332506851115255, -0.5321053656341397, -0.01198471940855843), (12.372279371580733, -7.233444356472296, 11.197549274327296, 0.3278740088241256, -0.5645339019823639, 0.0027356080372407726), (23.228226190020074, -13.51172436146843, 13.55937094427288, 0.33491770532918774, -0.4204654156306135, 0.005765728648802105), (36.199677219804705, -16.19914354040193, 12.50568128149482, 0.4907745978294298, 0.07572517424750116, 0.013591502832483948), (40.09779930476745, -15.807272875662195, 11.389735499697547, 0.4819341757334923, 0.203559379689454, 0.011078627383263458)]","[40.09831481238927, -11.827012107477554, 0, 0, 0, 0]",0.020566777,3.980260802,0.709220854
