id_camino,id_in_seq,initial_state,current_state,goal_state,out_action,timesteps
0,0,"[0, 0, 2.089187489283027, 0.6205830668956088, 0.28874374766045896, 0]","[0.0, 0.0, 2.089187489283027, 0.6205830668956088, 0.28874374766045896, 0]","[11.060150735713497, -5.678566449259048, 0, 0, 0.5235987755982988, 0]","[-0.01745, 0.0]",6.306911625
0,1,"[0, 0, 2.089187489283027, 0.6205830668956088, 0.28874374766045896, 0]","[0.43843036155575554, -0.13477646287552866, 2.3594206912778564, 1.1802653228431266, -0.06761586983180042, -0.11200556357838601]","[11.060150735713497, -5.678566449259048, 0, 0, 0.5235987755982988, 0]","[-0.05236, 0.03171124187154174]",6.306911625
0,2,"[0, 0, 2.089187489283027, 0.6205830668956088, 0.28874374766045896, 0]","[0.9027904107557527, -0.4527853256907375, 3.0688884086952024, 0.6585820030722558, -0.43430710018304886, -0.025399475406762125]","[11.060150735713497, -5.678566449259048, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.0]",6.306911625
0,3,"[0, 0, 2.089187489283027, 0.6205830668956088, 0.28874374766045896, 0]","[1.4601168344239297, -0.9375429254838269, 4.2204328296510285, 0.8437471642703068, -0.5392718101635814, -0.011465485164468372]","[11.060150735713497, -5.678566449259048, 0, 0, 0.5235987755982988, 0]","[-0.08727, 0.0]",6.306911625
0,4,"[0, 0, 2.089187489283027, 0.6205830668956088, 0.28874374766045896, 0]","[2.193659935814446, -1.5696772203666431, 5.380835405324629, 0.6853925919147367, -0.5604953922381964, 0.004331047186412453]","[11.060150735713497, -5.678566449259048, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.0]",6.306911625
0,5,"[0, 0, 2.089187489283027, 0.6205830668956088, 0.28874374766045896, 0]","[3.1347555659784963, -2.280989237771441, 6.368828021572501, 0.7575172847561974, -0.4801378703780377, 0.016496211020659703]","[11.060150735713497, -5.678566449259048, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.03171124187154174]",6.306911625
0,6,"[0, 0, 2.089187489283027, 0.6205830668956088, 0.28874374766045896, 0]","[4.283336534385286, -2.9491861196412654, 6.901965137420616, 0.5759651781356518, -0.3616234366998141, 0.027354819956793088]","[11.060150735713497, -5.678566449259048, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",6.306911625
0,7,"[0, 0, 2.089187489283027, 0.6205830668956088, 0.28874374766045896, 0]","[5.584001533792384, -3.565054208032804, 7.555850544229449, 0.3252690818331086, -0.42289436435823213, -0.011627634631123972]","[11.060150735713497, -5.678566449259048, 0, 0, 0.5235987755982988, 0]","[-0.08727, 0.0]",6.306911625
0,8,"[0, 0, 2.089187489283027, 0.6205830668956088, 0.28874374766045896, 0]","[6.996171500207566, -4.240685447997107, 8.114626983289877, 0.7411209252561601, -0.29842033132546375, 0.021306292634640685]","[11.060150735713497, -5.678566449259048, 0, 0, 0.5235987755982988, 0]","[-0.06981, 0.0]",6.306911625
0,9,"[0, 0, 2.089187489283027, 0.6205830668956088, 0.28874374766045896, 0]","[8.563788957079352, -4.778905335361431, 8.471450552731703, 0.6679596006264467, -0.20021647025073308, 0.01629152899648074]","[11.060150735713497, -5.678566449259048, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",6.306911625
