id_camino,id_in_seq,current_state,goal_state,out_action,timesteps
0,0,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[85.59111637766905, -9.250072591635423, 0, 0, 0, 0]","[-0.05236, 0.0]",31.53455812
0,1,"[4.745068697222255, -1.2437566999243914, 5.915146749566081, 0.6180499312841097, -0.22818002319939584, -0.00242293497127862]","[85.59111637766905, -9.250072591635423, 0, 0, 0, 0]","[-0.10472, 0.0]",31.53455812
0,2,"[11.015369477825, -2.020171817635536, 5.983671013210669, 0.8060629625492796, 0.2388731876059842, 0.012751666878222021]","[85.59111637766905, -9.250072591635423, 0, 0, 0, 0]","[-0.0, 0.0]",31.53455812
0,3,"[16.675656154603626, -2.6356345847551927, 6.322726382551765, 0.4038659949072313, -0.28731065390884947, -0.014920455588301173]","[85.59111637766905, -9.250072591635423, 0, 0, 0, 0]","[-0.08727, 0.0]",31.53455812
0,4,"[23.510669695114377, -3.8619511204173884, 6.8839757064007365, 0.7449634686940073, 0.15406715591687054, 0.013678928181847488]","[85.59111637766905, -9.250072591635423, 0, 0, 0, 0]","[-0.03491, 0.0]",31.53455812
0,5,"[29.834904336467723, -3.8586255615243226, 6.041176622653183, 0.5598170775149701, -0.0030995900017336273, -0.006406084488393339]","[85.59111637766905, -9.250072591635423, 0, 0, 0, 0]","[-0.0, 0.0]",31.53455812
0,6,"[36.237404235835285, -5.87451206482881, 8.028957735920848, 0.3043956014892158, -0.4400498131567502, -0.01052539780213348]","[85.59111637766905, -9.250072591635423, 0, 0, 0, 0]","[-0.10472, 0.0]",31.53455812
0,7,"[44.234315484267405, -6.550093859457969, 7.118490034291507, 0.7979842964527786, 0.4577174101200146, 0.02209931160078355]","[85.59111637766905, -9.250072591635423, 0, 0, 0, 0]","[-0.01745, 0.0]",31.53455812
0,8,"[49.51019358827129, -5.404725697587961, 4.524457968629725, 0.609329478548617, 0.060978220904886395, -0.018391450367491728]","[85.59111637766905, -9.250072591635423, 0, 0, 0, 0]","[-0.08727, 0.0]",31.53455812
0,9,"[54.307161686394565, -6.138161860392843, 5.164025543428907, 0.7695956540876624, -0.01132678632263797, 0.0008651416543539573]","[85.59111637766905, -9.250072591635423, 0, 0, 0, 0]","[-0.08727, 0.0]",31.53455812
0,10,"[59.68757670272806, -6.765824780218259, 5.41393726664276, 0.7612179853764228, 0.07295027632118631, 0.003183840587093496]","[85.59111637766905, -9.250072591635423, 0, 0, 0, 0]","[-0.01745, 0.0]",31.53455812
0,11,"[65.38761706260082, -8.082314701388828, 6.810815106663124, 0.4445928759940357, -0.3051606205996248, -0.008157651647240676]","[85.59111637766905, -9.250072591635423, 0, 0, 0, 0]","[-0.03491, 0.0]",31.53455812
0,12,"[72.92134547738948, -10.904750624234937, 9.065363012182019, 0.48021188799043746, -0.2531950752913036, 0.004847668067925834]","[85.59111637766905, -9.250072591635423, 0, 0, 0, 0]","[-0.06981, 0.0]",31.53455812
0,13,"[81.65965584916535, -11.226539151900289, 7.775802795565714, 0.6604429236253581, 0.315288160797671, 0.013524504022453603]","[85.59111637766905, -9.250072591635423, 0, 0, 0, 0]","[-0.05236, 0.0]",31.53455812
0,14,"[85.58934969131616, -10.144435605885535, 5.5957519122006385, 0.6087711498083155, 0.3704527062576054, -0.002239689204261115]","[85.59111637766905, -9.250072591635423, 0, 0, 0, 0]",[],31.53455812
1,0,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[98.04349982601175, -37.77935805593802, 0, 0, 0, 0]","[-0.03491, 0.0]",31.53455812
1,1,"[4.79506777490283, -1.4638811882184906, 6.2839991154031045, 0.5314843830004248, -0.32338538143675755, -0.00500913924473525]","[98.04349982601175, -37.77935805593802, 0, 0, 0, 0]","[-0.01745, 0.0]",31.53455812
