id_path,path,end_message,time,sqrt(trajectory MSE),distance_to_target,mean_distance_in_trajectory,k_value
0,"[[57.56720433 -7.22724906]
 [52.97141912 -5.86504825]
 [45.33442232 -3.43275224]
 [36.49229761 -1.43555898]
 [27.68132929 -0.26622513]
 [19.16609184  0.48764741]
 [11.37422432  0.95602295]
 [ 4.8171232   0.92910466]
 [ 0.71253106  0.58101343]
 [ 0.          0.3423146 ]]",End,0.555511713,1.020949879,0.342314596,0.55351018,0.125544555
1,"[[ 48.8112156  -17.34657703]
 [ 43.19144274 -15.40260734]
 [ 35.25608167 -10.02079959]
 [ 24.26113362  -3.45527147]
 [ 10.76071741   1.25599117]
 [  0.54290944   1.05210773]
 [  0.           0.11505734]]",End,0.3420856,0.871056853,0.115057337,0.461770077,0.355380968
2,"[[65.45650919 -5.4304923 ]
 [61.49562253 -4.40614117]
 [54.43731359 -3.09683734]
 [47.52799413 -2.97749388]
 [41.90910279 -3.22654912]
 [36.71457468 -2.91632929]
 [31.23811031 -2.01692943]
 [24.97701895 -0.91742308]
 [17.96728097  0.1517965 ]
 [10.75422481  0.92704034]
 [ 4.38260859  1.13583485]
 [ 0.          0.91842042]]",End,0.567608118,2.024817931,0.918420417,0.606085015,0.082963366
3,"[[ 53.04666591 -11.1562719 ]
 [ 47.86521455  -9.40183758]
 [ 39.87841609  -5.50307403]
 [ 29.43250651  -1.27855526]
 [ 17.78884408   1.84935378]
 [  6.59019876   2.44417836]
 [  0.           0.80359116]]",End,0.330116987,1.406077308,0.803591159,1.111871373,0.21031052
4,"[[ 48.21493949 -19.80149066]
 [ 42.62200827 -17.91855328]
 [ 34.81579069 -12.25764636]
 [ 23.94038472  -4.92232287]
 [ 10.12942926   0.55821875]
 [  0.           0.75872399]]",End,0.314160347,1.025838428,0.75872399,0.790770272,0.410692015
5,"[[50.75547769 -7.99760356]
 [45.42332072 -6.45691125]
 [37.5909401  -3.37392616]
 [27.99407391 -0.32945592]
 [17.66684261  1.65967773]
 [ 7.83788123  2.00278762]
 [ 1.23581744  0.92178858]
 [ 0.          0.20256736]]",End,0.343140841,4.359885317,0.20256736,2.320322537,0.15757124
6,"[[58.66248155 -8.4990958 ]
 [54.13192072 -7.01800906]
 [46.39193415 -4.23229414]
 [37.06200552 -1.73436045]
 [27.50269043 -0.1356939 ]
 [18.29341317  0.79151335]
 [10.09341702  1.15504804]
 [ 3.62590178  0.88726745]
 [ 0.          0.44233851]]",End,0.506641865,3.325517792,0.44233851,1.295906325,0.144881287
7,"[[ 46.95093258 -15.29181362]
 [ 41.24384698 -13.29466419]
 [ 33.23392436  -8.10723902]
 [ 22.2194286   -2.13037955]
 [  9.06087815   1.64134172]
 [  0.           0.91518591]]",End,0.327122927,0.892726713,0.915185905,0.971398905,0.325697761
8,"[[71.17052662 -7.4272494 ]
 [67.27439116 -6.19602197]
 [60.11855188 -4.50691803]
 [52.71209432 -4.01550717]
 [46.39873903 -4.09320103]
 [40.66783447 -3.73643309]
 [34.84965349 -2.80997721]
 [28.45020875 -1.68376559]
 [21.34930098 -0.53865513]
 [13.78114995  0.44794479]
 [ 6.60844453  0.95662405]
 [ 1.11642683  0.88605145]
 [ 0.          0.69617775]]",End,0.557328939,1.865895515,0.69617775,0.548946688,0.1043585
9,"[[ 40.09831481 -11.82701211]
 [ 34.13480598  -9.77633573]
 [ 26.11865022  -5.01186991]
 [ 15.28267214  -0.2927268 ]
 [  3.78020078   1.34786511]
 [  0.           0.27319329]]",End,0.232945681,1.020416081,0.273193292,1.557559776,0.294950353
