,path_id,initial_state,final_state,h_actions,h_path,h_cost,h_distance,h_time,end_message
0,1,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2183.59990998254, -664.2863278647993, 1, 0, 0, 0, 0, 0, 0)","[array([-0.01745,  0.     ])
 array([[0.03407087, 0.01082197]], dtype=float32)]","[[ 3.31252697 -4.65625239  0.          0.          0.          0.
   0.05236     0.        ]]",0.0,2282.407696329439,0.19846701622009277,Error
1,2,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2044.2081375871876, 16.002588522432383, 1, 0, 0, 0, 0, 0, 0)","[array([-0.06981   ,  0.12684497])
 array([[-0.00522207,  0.08216579]], dtype=float32)
 array([[0.2514569, 0.5942607]], dtype=float32)]","[[ 3.10106927e+00  1.12168636e-01  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  5.23600000e-02  0.00000000e+00]
 [ 1.16404689e+00  6.75775729e+00 -5.05679201e+00 -1.00690865e-01
   2.14039163e+00 -3.30193531e-01 -5.22207096e-03  8.21657926e-02]]",581.8607702364566,1232.192967074933,1.5964112281799316,Error
2,3,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2006.4311730426193, -152.1696010416172, 1, 0, 0, 0, 0, 0, 0)","[array([-0.08727,  0.     ])
 array([[-0.0159006, -0.010688 ]], dtype=float32)
 array([[-0.04718985,  0.1970596 ]], dtype=float32)]","[[ 3.04376151 -1.06661847  0.          0.          0.          0.
   0.05236     0.        ]
 [ 1.56703894  1.46217204 -2.71916551 -0.58082082  1.57420011 -0.0665762
  -0.0159006  -0.010688  ]]",58.8513960228017,1053.837541280699,0.6542143821716309,Error
3,4,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2020.5228830770452, -344.04994443246625, 1, 0, 0, 0, 0, 0, 0)","[array([-0.01745   ,  0.12684497])
 array([[0.01421527, 0.00326448]], dtype=float32)]","[[ 3.06513868 -2.41158565  0.          0.          0.          0.
   0.05236     0.        ]]",0.0,2049.6055926206773,0.1715381145477295,Error
4,5,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2291.5815635831136, 118.14510667975344, 1, 0, 0, 0, 0, 0, 0)","[array([-0.03491   ,  0.15855621])
 array([[0.02209787, 0.16988212]], dtype=float32)]","[[3.47633543 0.82812699 0.         0.         0.         0.
  0.05236    0.        ]]",0.0,2294.6250954755983,1.1559386253356934,Error
5,6,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2268.7553339765595, -198.85775115321374, 1, 0, 0, 0, 0, 0, 0)","[array([-0.10472,  0.     ])
 array([[-0.00550159, -0.00424454]], dtype=float32)
 array([[0.12692502, 0.5244851 ]], dtype=float32)]","[[ 3.44170798e+00 -1.39387466e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  5.23600000e-02  0.00000000e+00]
 [ 1.69207102e+00  4.66696265e+00 -4.20094249e+00 -4.28745814e-01
   1.75876649e+00  8.95194809e-02 -5.50159439e-03 -4.24453616e-03]]",59.92805970439221,1299.0165477795338,2.897249460220337,Error
6,7,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2041.6677895775872, -1.325823819294248, 1, 0, 0, 0, 0, 0, 0)","[array([-0.06981,  0.     ])
 array([[-0.00859469,  0.06626374]], dtype=float32)
 array([[0.12295436, 0.49164802]], dtype=float32)]","[[ 3.09721556 -0.00929324  0.          0.          0.          0.
   0.05236     0.        ]
 [ 1.25264558  4.45707923 -3.81930004 -0.32779079  1.5335615  -0.12091566
  -0.00859469  0.06626374]]",333.7217101369402,1042.2003488505404,4.361332416534424,Error
7,8,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2048.8044995165214, -376.08766225031184, 1, 0, 0, 0, 0, 0, 0)","[array([-0.08727,  0.     ])
 array([[0.01902554, 0.00652288]], dtype=float32)]","[[ 3.10804196 -2.63615101  0.          0.          0.          0.
   0.05236     0.        ]]",0.0,2083.036679210438,0.10970568656921387,Error
8,9,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2237.394749128388, -127.03880205995256, 1, 0, 0, 0, 0, 0, 0)","[array([-0.08727,  0.     ])
 array([[-0.01283389, -0.00043035]], dtype=float32)
 array([[-0.00653693,  0.32410112]], dtype=float32)]","[[ 3.39413388e+00 -8.90466506e-01  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  5.23600000e-02  0.00000000e+00]
 [ 1.80725157e+00  2.23042605e+00 -2.85367115e+00 -5.66748264e-01
   1.19838248e+00  1.75367403e-02 -1.28338896e-02 -4.30349261e-04]]",59.999925020129226,1233.0964020352799,2.4713857173919678,End
9,10,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2137.8812328150416, -653.9287381828805, 1, 0, 0, 0, 0, 0, 0)","[array([-0.01745,  0.     ])
 array([[0.03329673, 0.00921507]], dtype=float32)]","[[ 3.24317161 -4.58365184  0.          0.          0.          0.
   0.05236     0.        ]]",0.0,2235.6562705935403,0.132645845413208,Error
