,path_id,initial_state,final_state,h_actions,h_path,h_cost,h_distance,h_time,end_message
0,1,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2183.59990998254, -664.2863278647993, 1, 0, 0, 0, 0, 0, 0)","[array([-0.01745,  0.     ])
 array([[0.01126172, 0.13302287]], dtype=float32)]",[[ 1.51006311 -4.13769346  0.04184333 -0.13066902 -0.07222236 -0.24103227]],0.0,2282.407696329439,1.2688543796539307,Error
1,2,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2044.2081375871876, 16.002588522432383, 1, 0, 0, 0, 0, 0, 0)","[array([-0.06981   ,  0.12684497])
 array([[-0.04235577,  0.15078247]], dtype=float32)
 array([[-0.05706218,  0.14923652]], dtype=float32)
 array([[-0.00385176, -0.00401743]], dtype=float32)]","[[ 1.29860541  0.63072757  0.04184333 -0.13066902 -0.07222236 -0.24103227]
 [ 0.15099606  0.55496485 -0.44250267 -1.22671086 -0.21338175  0.70080981]
 [-0.83955942  0.54044666 -1.38522076 -0.59331736  0.12078742 -1.67180674]]",6471.880235539046,634.7490974322316,1.8382558822631836,End
2,3,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2006.4311730426193, -152.1696010416172, 1, 0, 0, 0, 0, 0, 0)","[array([-0.08727,  0.     ])
 array([[-0.07399379,  0.00105283]], dtype=float32)
 array([[-0.05745095,  0.10445233]], dtype=float32)
 array([[-0.05292184,  0.11310591]], dtype=float32)
 array([[-0.00251447,  0.0005095 ]], dtype=float32)]","[[ 1.24129765 -0.54805954  0.04184333 -0.13066902 -0.07222236 -0.24103227]
 [ 0.46715047  0.1998673  -0.58468146 -1.43964988  0.1138067  -0.305271  ]
 [-0.49929285  0.4797313  -1.04971335 -1.06242715 -0.1854101  -0.98568072]
 [-1.51154026  0.61245327 -0.96233674 -2.11771713 -0.28792961  1.13157219]]",2613.351105937245,192.24253869828505,1.7279644012451172,End
3,4,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2020.5228830770452, -344.04994443246625, 1, 0, 0, 0, 0, 0, 0)","[array([-0.01745   ,  0.12684497])
 array([[-0.01991818,  0.00315078]], dtype=float32)
 array([[-0.05722175,  0.13212372]], dtype=float32)
 array([[-0.00247183, -0.00037146]], dtype=float32)]","[[ 1.26267481 -1.89302672  0.04184333 -0.13066902 -0.07222236 -0.24103227]
 [-0.14522372  0.14582345 -2.31281953 -0.79557934  0.43074481 -0.31646595]
 [-1.15375889  0.04325353 -0.76900716 -1.58549309 -1.52959296  0.78307805]]",2289.850480068046,432.9658441129752,1.2424900531768799,End
4,5,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2291.5815635831136, 118.14510667975344, 1, 0, 0, 0, 0, 0, 0)","[array([-0.03491   ,  0.15855621])
 array([[-0.03723837,  0.17372982]], dtype=float32)
 array([[-0.06613634,  0.14839819]], dtype=float32)
 array([[-0.07141858,  0.02705369]], dtype=float32)
 array([[-3.3874065e-05,  1.6517965e-03]], dtype=float32)]","[[ 1.67387157  1.34668592  0.04184333 -0.13066902 -0.07222236 -0.24103227]
 [ 0.40795181  1.0543485  -0.6396799  -2.07544835 -2.13161779  1.03818351]
 [-0.43016304  1.21457245 -1.38861819 -0.62289098  2.07789022 -1.17740463]
 [-1.2648068   1.8356281  -0.39061471 -1.19863671  0.27551418 -0.5402987 ]]",8206.003298791988,401.14897043236925,2.28547739982605,End
5,6,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2268.7553339765595, -198.85775115321374, 1, 0, 0, 0, 0, 0, 0)","[array([-0.10472,  0.     ])
 array([[-0.06978203,  0.00098862]], dtype=float32)
 array([[-0.07120794,  0.00085638]], dtype=float32)
 array([[-0.05884583,  0.13801317]], dtype=float32)
 array([[-0.00407298, -0.00184494]], dtype=float32)]","[[ 1.63924411 -0.87531573  0.04184333 -0.13066902 -0.07222236 -0.24103227]
 [ 0.84238544 -0.11027036 -0.68075393 -1.3964544   0.19583052 -0.3276274 ]
 [ 0.04267181  0.56658106 -0.52642021 -1.42522492  0.28811719 -0.23485854]
 [-0.94209468  0.64672897 -1.38027112 -0.35974876 -0.07369671 -1.55239988]]",2653.109544328212,567.4454197994498,1.255479097366333,End
6,7,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2041.6677895775872, -1.325823819294248, 1, 0, 0, 0, 0, 0, 0)","[array([-0.06981,  0.     ])
 array([[-0.04507374,  0.14139172]], dtype=float32)
 array([[-0.0547584 ,  0.12387938]], dtype=float32)
 array([[-0.00323906, -0.00197738]], dtype=float32)]","[[ 1.29475169  0.50926569  0.04184333 -0.13066902 -0.07222236 -0.24103227]
 [ 0.19657597  0.53593229 -0.60030524 -0.85059569  0.09661382 -0.70006203]
 [-0.80623806  0.66401163 -1.16227839 -2.1074691   0.05385082  1.26147929]]",4567.672469147922,657.0344500052984,1.6861674785614014,End
7,8,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2048.8044995165214, -376.08766225031184, 1, 0, 0, 0, 0, 0, 0)","[array([-0.08727,  0.     ])
 array([[-0.02011372,  0.00357828]], dtype=float32)
 array([[-0.06299691,  0.08848624]], dtype=float32)
 array([[-0.00255755, -0.00471372]], dtype=float32)]","[[ 1.3055781  -2.11759208  0.04184333 -0.13066902 -0.07222236 -0.24103227]
 [-0.09414366 -0.19635562 -1.9136959  -0.82114545  0.32347613 -0.22733709]
 [-1.00691376  0.01968837 -0.40054193 -1.06739962 -0.36551532 -0.6996737 ]]",771.8346407818685,529.2297978626683,1.6123466491699219,End
8,9,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2237.394749128388, -127.03880205995256, 1, 0, 0, 0, 0, 0, 0)","[array([-0.08727,  0.     ])
 array([[-0.07607846,  0.00117814]], dtype=float32)
 array([[-0.05069406,  0.12192483]], dtype=float32)
 array([[-0.06196958,  0.12212089]], dtype=float32)
 array([[-0.00257516,  0.00056551]], dtype=float32)]","[[ 1.59167002 -0.37190757  0.04184333 -0.13066902 -0.07222236 -0.24103227]
 [ 0.82882211  0.36832617 -0.54039433 -1.46290466  0.08727336 -0.2899645 ]
 [-0.20986672  0.51505752 -1.13476277 -0.75628711  0.3486789  -0.5980342 ]
 [-1.16627441  0.58538089 -0.78284636 -0.58432465 -0.44549138 -1.03384053]]",3598.50432216739,419.4809939285981,2.1426889896392822,End
9,10,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2137.8812328150416, -653.9287381828805, 1, 0, 0, 0, 0, 0, 0)","[array([-0.01745,  0.     ])
 array([[0.00959294, 0.12653627]], dtype=float32)]",[[ 1.44070775 -4.06509291  0.04184333 -0.13066902 -0.07222236 -0.24103227]],0.0,2235.6562705935403,1.3028814792633057,Error
