id_camino,id_in_seq,current_state,goal_state,out_action,timesteps
0,0,"[0, 0, 1, 0, 0, 0]","[2037.1434887822904, -46.07858954769379, 1.566668507752373, 0.2354707758190619, 0.2830496547141229, -0.05496664129515276]",5,378.4146974946769
0,1,"[449.3339568747035, -42.07691425450208, 1.1584265979464572, 0.18275276880263788, 0.05364134111997044, -0.0009107324235008902]","[2037.1434887822904, -46.07858954769379, 1.566668507752373, 0.2354707758190619, 0.2830496547141229, -0.05496664129515276]",4,378.4146974946769
0,2,"[944.973041645448, -88.47943368675247, 1.309474979097838, 0.16429629268601517, 0.05138692675555942, 4.512541405982145e-05]","[2037.1434887822904, -46.07858954769379, 1.566668507752373, 0.2354707758190619, 0.2830496547141229, -0.05496664129515276]",10,378.4146974946769
0,3,"[1612.624844173171, -105.52157995727404, 1.7741538612196692, 0.2324780434938418, -0.07711859756705436, -0.039494110506432235]","[2037.1434887822904, -46.07858954769379, 1.566668507752373, 0.2354707758190619, 0.2830496547141229, -0.05496664129515276]",23,378.4146974946769
1,0,"[0, 0, 1, 0, 0, 0]","[1871.454403645811, -511.8820415713209, 1.9914908663250355, 0.200412585002142, -0.08597661368674636, 0.029495278193575333]",12,378.4146974946769
1,1,"[523.5110460510544, -33.85447312218764, 1.2434118310040225, 0.2569759744285557, 0.2767936284213621, -0.03518068952044676]","[1871.454403645811, -511.8820415713209, 1.9914908663250355, 0.200412585002142, -0.08597661368674636, 0.029495278193575333]",7,378.4146974946769
1,2,"[740.2383281072291, -249.55892238012845, 5.056999065792528, 0.09475656818787383, -1.0443194287668722, -0.03899557735652588]","[1871.454403645811, -511.8820415713209, 1.9914908663250355, 0.200412585002142, -0.08597661368674636, 0.029495278193575333]",1,378.4146974946769
1,3,"[1753.7052515698017, -507.0321284614909, 2.472193777109284, 0.08693354730047462, -0.07127272080329818, 0.0003060069957968699]","[1871.454403645811, -511.8820415713209, 1.9914908663250355, 0.200412585002142, -0.08597661368674636, 0.029495278193575333]",6,378.4146974946769
2,0,"[0, 0, 1, 0, 0, 0]","[2063.39265920018, 17.336553696241705, 1.3850392744264897, 0.1863260047137881, 0.25669708488691984, -0.013644870808505842]",9,378.4146974946769
2,1,"[830.3916084985825, -45.941279781909316, 1.9684854398653195, 0.21399057430329113, 0.22171397444712634, -0.04385214524694723]","[2063.39265920018, 17.336553696241705, 1.3850392744264897, 0.1863260047137881, 0.25669708488691984, -0.013644870808505842]",16,378.4146974946769
2,2,"[1678.9016355358513, 0.698085344788575, 2.2965995554132306, 0.23494981956567662, 0.22995227409855237, -0.0421119220506267]","[2063.39265920018, 17.336553696241705, 1.3850392744264897, 0.1863260047137881, 0.25669708488691984, -0.013644870808505842]",10,378.4146974946769
3,0,"[0, 0, 1, 0, 0, 0]","[1723.6745335940968, -346.6159069689109, 2.34508322425301, 0.08810509887990724, -0.1395474891815272, -0.0006634630628305263]",20,378.4146974946769
3,1,"[472.6705900095329, -20.684993365320352, 0.5686548414095832, 0.3450803693318689, 0.07730462627096134, -0.06845577265202829]","[1723.6745335940968, -346.6159069689109, 2.34508322425301, 0.08810509887990724, -0.1395474891815272, -0.0006634630628305263]",1,378.4146974946769
3,2,"[1365.752803099059, -288.0998609243058, 2.6247458654463527, 0.08467807505922921, -0.18004438476592816, 0.0015440638646627806]","[1723.6745335940968, -346.6159069689109, 2.34508322425301, 0.08810509887990724, -0.1395474891815272, -0.0006634630628305263]",1,378.4146974946769
4,0,"[0, 0, 1, 0, 0, 0]","[1985.4403658537099, -52.24531871222085, 1.0162205148939991, 0.26788324592726614, -0.055329514109174444, -0.03888642647454349]",6,378.4146974946769
4,1,"[424.66869475944657, -39.63812569408468, 1.111020655830407, 0.19596387810733978, 0.09799582187590113, 0.001137482808914173]","[1985.4403658537099, -52.24531871222085, 1.0162205148939991, 0.26788324592726614, -0.055329514109174444, -0.03888642647454349]",16,378.4146974946769
4,2,"[1282.0725938607004, -28.177324186749953, 1.9578683807225739, 0.2276342698907042, 0.4054278200130704, -0.04130786369869716]","[1985.4403658537099, -52.24531871222085, 1.0162205148939991, 0.26788324592726614, -0.055329514109174444, -0.03888642647454349]",5,378.4146974946769
4,3,"[1745.4922088175654, -56.26576990738232, 1.0871314835851833, 0.18629325503300428, 0.006462949994651365, -0.0040129053973155205]","[1985.4403658537099, -52.24531871222085, 1.0162205148939991, 0.26788324592726614, -0.055329514109174444, -0.03888642647454349]",18,378.4146974946769
5,0,"[0, 0, 1, 0, 0, 0]","[2199.3117763773307, -233.0474526268602, 1.5040183328627281, 0.14386828951430758, 0.0035850821228821505, 0.00023362639574879733]",3,378.4146974946769
5,1,"[559.3034116464789, -64.74060666287147, 1.5558269942118328, 0.14252264743191032, -0.0318765805639669, 0.0013099972286478513]","[2199.3117763773307, -233.0474526268602, 1.5040183328627281, 0.14386828951430758, 0.0035850821228821505, 0.00023362639574879733]",2,378.4146974946769
5,2,"[1231.781355038415, -146.6578111622128, 1.7602225067595845, 0.12037012163919389, -0.0407052208734974, -0.0005073694415070637]","[2199.3117763773307, -233.0474526268602, 1.5040183328627281, 0.14386828951430758, 0.0035850821228821505, 0.00023362639574879733]",3,378.4146974946769
5,3,"[1798.3310265199193, -194.55389014798303, 1.4670254066770672, 0.14488695614054312, 0.022315156141722553, -0.0005551477482498048]","[2199.3117763773307, -233.0474526268602, 1.5040183328627281, 0.14386828951430758, 0.0035850821228821505, 0.00023362639574879733]",3,378.4146974946769
