id_camino,id_in_seq,current_state,goal_state,out_action,timesteps
0,0,"[0, 0, 1, 0, 0, 0]","[1987.2289180150535, 64.99358948693008, 1.9291261212721897, -0.009631192923083143, 0.23013721664567469, 0.04463927595351575]",10,378.4146974946769
0,1,"[660.1896135062101, -31.66802434354193, 1.7955340110872278, 0.21386291704626426, -0.1603392087354703, -0.04365342539118546]","[1987.2289180150535, 64.99358948693008, 1.9291261212721897, -0.009631192923083143, 0.23013721664567469, 0.04463927595351575]",16,378.4146974946769
0,2,"[1525.2841658420925, 7.0702736880989345, 1.9036724382795494, 0.20681658873042053, 0.1683269390354092, -0.05641658604455029]","[1987.2289180150535, 64.99358948693008, 1.9291261212721897, -0.009631192923083143, 0.23013721664567469, 0.04463927595351575]",23,378.4146974946769
1,0,"[0, 0, 1, 0, 0, 0]","[1880.5440584851553, -342.5601014522393, 2.405804143050062, 0.08732503031818185, -0.1375402845089132, -0.00017457815878606277]",2,378.4146974946769
1,1,"[669.1997063306001, -95.64383125719326, 1.6894554012413938, 0.12209118068908624, -0.024539620129299368, -0.001610730136986043]","[1880.5440584851553, -342.5601014522393, 2.405804143050062, 0.08732503031818185, -0.1375402845089132, -0.00017457815878606277]",1,378.4146974946769
1,2,"[1549.409413475973, -282.55213108812467, 2.474605500875075, 0.08626274620052186, -0.16755826824657133, 0.00040278448171390417]","[1880.5440584851553, -342.5601014522393, 2.405804143050062, 0.08732503031818185, -0.1375402845089132, -0.00017457815878606277]",1,378.4146974946769
2,0,"[0, 0, 1, 0, 0, 0]","[2054.788057485821, -473.805282793441, 2.011758511619067, 0.11571537103540921, -0.1218950279455838, 0.003118937361503629]",19,378.4146974946769
2,1,"[535.3258304576225, -13.417216627478174, 1.2467101800317468, 0.24414675792570573, 0.42569496160111236, -0.05232134767274729]","[2054.788057485821, -473.805282793441, 2.011758511619067, 0.11571537103540921, -0.1218950279455838, 0.003118937361503629]",14,378.4146974946769
2,2,"[735.1689638300827, -204.85627327125425, 5.124617498648145, 0.17697575061331, -0.9967004551232094, -0.07092957267136961]","[2054.788057485821, -473.805282793441, 2.011758511619067, 0.11571537103540921, -0.1218950279455838, 0.003118937361503629]",1,378.4146974946769
2,3,"[1749.2690747621555, -449.66421198295507, 2.454807082482426, 0.08709619575753325, -0.07258040886180878, 0.0001571427440537146]","[2054.788057485821, -473.805282793441, 2.011758511619067, 0.11571537103540921, -0.1218950279455838, 0.003118937361503629]",2,378.4146974946769
3,0,"[0, 0, 1, 0, 0, 0]","[2065.9129388462343, 101.87866151641722, 1.4026948375798554, 0.15111215190519608, 0.46291869880275965, -0.0219889753413385]",16,378.4146974946769
3,1,"[855.4820158348386, 1.5888738691776723, 1.9347421324553293, 0.20327946863855656, 0.3590744756281868, -0.05523406628839869]","[2065.9129388462343, 101.87866151641722, 1.4026948375798554, 0.15111215190519608, 0.46291869880275965, -0.0219889753413385]",23,378.4146974946769
3,2,"[1716.8972390467338, 86.68247626490859, 2.5476812859519886, 0.21152870564243068, 0.37204527710573426, -0.053032880239901894]","[2065.9129388462343, 101.87866151641722, 1.4026948375798554, 0.15111215190519608, 0.46291869880275965, -0.0219889753413385]",10,378.4146974946769
4,0,"[0, 0, 1, 0, 0, 0]","[1918.054855593658, -10.45272005953518, 1.4216325395522162, 0.14583748665700258, 0.08144743814313851, -0.0014991433988385742]",3,378.4146974946769
4,1,"[559.5548653512201, -64.43389144133145, 1.5469528870308702, 0.14278518106604685, -0.026724926328013165, 0.0011418132414958686]","[1918.054855593658, -10.45272005953518, 1.4216325395522162, 0.14583748665700258, 0.08144743814313851, -0.0014991433988385742]",23,378.4146974946769
4,2,"[1441.2603542774568, 28.85524089195566, 1.8545293321019827, 0.20291807973424889, 0.4396088102381196, -0.0581767582135331]","[1918.054855593658, -10.45272005953518, 1.4216325395522162, 0.14583748665700258, 0.08144743814313851, -0.0014991433988385742]",3,378.4146974946769
5,0,"[0, 0, 1, 0, 0, 0]","[1754.470919352298, -394.87716251079485, 1.230951331768374, 0.11921457575985261, 0.19571852900460213, -0.009906384390895223]",20,378.4146974946769
5,1,"[475.7263505971204, -23.4968915086083, 0.8835992900346865, 0.28584561686152615, 0.011800634369868227, -0.06944515422534021]","[1754.470919352298, -394.87716251079485, 1.230951331768374, 0.11921457575985261, 0.19571852900460213, -0.009906384390895223]",7,378.4146974946769
