path_id,initial_state,final_state,h_actions,h_path,h_cost,h_distance,h_time
1,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2183.59990998254, -664.2863278647993, 1, 0, 0, 0, 0, 0, 0)","[(-0.01745, 0.0)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (874.5144151462928, -220.33154424258512, 2.544785282924183, 0.08537061359454402, -0.18356803095166938, 0.0009570234662291785, -0.01745, 0, 60.0)]",60.0,25.192745906317622,98.15747165679932
2,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2044.2081375871876, 16.002588522432383, 1, 0, 0, 0, 0, 0, 0)","[(-0.06981, 0.12684496748616697), (-0.03491, 0.19026745122925046), (-0.03491, 0.0)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (586.1911708525566, -39.831044807701716, 1.9485093186994917, 0.18004226753373806, 0.09881741812970195, -0.015749154926003532, -0.06981, 0.12684496748616697, 1980.0), (1465.2875405632947, 80.76627645510135, 2.082212861497634, 0.15453088294094544, 0.2987782955666687, -0.037012510569301105, -0.03491, 0.19026745122925046, 8520.0), (2044.1829942070044, 16.740916344795025, 1.9386939220984591, 0.11700686570794584, -0.07040122778401006, 0.0020838489196766665, -0.03491, 0, 8573.406802505351)]",8573.406802505351,0.021858591460690156,414.6994216442108
3,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2006.4311730426193, -152.1696010416172, 1, 0, 0, 0, 0, 0, 0)","[(-0.08727, 0.0), (-0.08727, 0.0), (-0.10472, 0.0), (-0.06981, 0.12684496748616697), (-0.08727, 0.0)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (450.92153228539496, -42.24148887658856, 1.1601439890567464, 0.18268815950870107, 0.05244247493540463, -0.0008517407951802834, -0.08727, 0, 60.0), (901.8016470043832, -81.970692616841, 1.1804281089461488, 0.18180957473151885, 0.06272455799851744, -5.367417076049785e-05, -0.08727, 0, 120.0), (1325.3854878522218, -118.50915850894842, 1.107091381175489, 0.19666393282176847, 0.0889826024359508, 0.0006544024139663829, -0.10472, 0, 180.0), (1910.860583383195, -154.59618778215918, 1.907542721297184, 0.17975660260470683, 0.07193629276406782, -0.01655829737395786, -0.06981, 0.12684496748616697, 2160.0), (2006.4178160075153, -152.87325793809626, 1.404357740197171, 0.17246674489153893, -0.25262939847984317, 0.0074047678269371295, -0.08727, 0, 2172.587013398874)]",2172.587013398874,0.01558511311427849,592.2203273773193
4,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2020.5228830770452, -344.04994443246625, 1, 0, 0, 0, 0, 0, 0)","[(-0.01745, 0.12684496748616697), (-0.01745, 0.0)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (1105.9299773859889, -198.7360679563873, 3.2147323348104746, 0.11670376432220936, -0.18195425561098663, -0.024869994059488768, -0.01745, 0.12684496748616697, 1980.0), (2020.4991410562932, -344.46574369485523, 2.368425392262257, 0.08787819026936582, -0.12829565640908355, -0.0004831862877586176, -0.01745, 0, 2039.752636169032)]",2039.752636169032,0.026201970377558507,635.525130033493
5,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2291.5815635831136, 118.14510667975344, 1, 0, 0, 0, 0, 0, 0)","[(-0.03491, 0.1585562093577087), (-0.03491, 0.19026745122925046), (-0.03491, 0.12684496748616697)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (860.120694073523, 7.601363352511649, 1.909494698458602, 0.14652460527815903, 0.36011784142912534, -0.033284211596317774, -0.03491, 0.1585562093577087, 3810.0), (1728.8494748217322, 100.99946351828801, 2.5956970217148028, 0.15669388040869192, 0.36739955908007565, -0.03342528192241499, -0.03491, 0.19026745122925046, 10350.0), (2291.5386902374903, 117.7416556451565, 1.6977403558432729, 0.1686442430789588, 0.05256560962440396, -0.014722908510399745, -0.03491, 0.12684496748616697, 11779.624990089591)]",11779.624990089591,0.014872598485462423,322.3906078338623
6,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2268.7553339765595, -198.85775115321374, 1, 0, 0, 0, 0, 0, 0)","[(-0.10472, 0.0), (-0.05236, 0.0), (-0.05236, 0.0), (-0.10472, 0.0), (-0.05236, 0.12684496748616697)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (426.19767611646404, -39.754465256402604, 1.1096236684379228, 0.19600204234090854, 0.09950772117627389, 0.0010797198922726523, -0.10472, 0, 60.0), (986.4474766908362, -101.25817052735698, 1.5340625446627922, 0.1430600160581509, -0.02680706143772989, 0.0008484843541361239, -0.05236, 0, 120.0), (1553.2505802796154, -154.05845792896758, 1.493271134073428, 0.14415897563553629, 0.00755269983802114, 3.2172021263813382e-06, -0.05236, 0, 180.0), (1989.0249476123292, -186.59079965111033, 1.0907359420311828, 0.19830683276422567, 0.12836484544311214, -0.0004132458869929164, -0.10472, 0, 240.0), (2268.742407159386, -198.9060239542375, 1.384442409878006, 0.06444059325011806, 0.32671955095843885, 0.01753084148829622, -0.05236, 0.12684496748616697, 1042.6433045270753)]",1042.6433045270753,0.009260627033009458,829.6602435112
7,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2041.6677895775872, -1.325823819294248, 1, 0, 0, 0, 0, 0, 0)","[(-0.06981, 0.0), (-0.03491, 0.19026745122925046), (-0.10472, 0.0), (-0.08727, 0.1585562093577087)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (497.75280682810865, -49.725538360748125, 1.3046702752108372, 0.16434886474851018, 0.0688438748192099, -3.512977965317289e-05, -0.06981, 0, 60.0), (1381.497432142819, 34.195371976843546, 1.9278865025559024, 0.14634812286151347, 0.5708536332679033, -0.036062996535577915, -0.03491, 0.19026745122925046, 6600.0), (1825.861135224126, 2.2962175606905, 1.1701462285634519, 0.1925428476508752, 0.20476272392074266, 0.004214644014602895, -0.10472, 0, 6660.0), (2041.6660940389893, 0.1449693523260231, 0.9940444064699133, 0.18442568813450516, -0.04420250099526025, -0.00678554391838019, -0.08727, 0.1585562093577087, 8283.320383731072)]",8283.320383731072,0.026818076446379853,443.6738352775574
8,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2048.8044995165214, -376.08766225031184, 1, 0, 0, 0, 0, 0, 0)","[(-0.08727, 0.0), (-0.08727, 0.0), (-0.0, 0.1585562093577087), (-0.03491, 0.0), (-0.05236, 0.12684496748616697)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (450.92153228539496, -42.24148887658856, 1.1601439890567464, 0.18268815950870107, 0.05244247493540463, -0.0008517407951802834, -0.08727, 0, 60.0), (901.8016470043832, -81.970692616841, 1.1804281089461488, 0.18180957473151885, 0.06272455799851744, -5.367417076049785e-05, -0.08727, 0, 120.0), (1096.3169347762182, -278.0235004588873, 5.166880610871004, 0.029908137460534244, -1.046853569858798, -0.01730510291291036, -0.0, 0.1585562093577087, 1075.1431063188775), (1869.6567038125697, -391.5845532709885, 2.1871947801403753, 0.11411916398099073, -0.11921769247506937, 0.005353179968246086, -0.03491, 0, 1135.1431063188775), (2048.7834604463715, -375.8404475461719, 1.4463967765213552, 0.10511330803636584, 0.06482578440294887, -0.008749963427724754, -0.05236, 0.12684496748616697, 1634.0283834139382)]",1634.0283834139382,0.009442770407710768,562.3409481048584
9,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2237.394749128388, -127.03880205995256, 1, 0, 0, 0, 0, 0, 0)","[(-0.08727, 0.0), (-0.06981, 0.0), (-0.03491, 0.0), (-0.06981, 0.19026745122925046)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (450.92153228539496, -42.24148887658856, 1.1601439890567464, 0.18268815950870107, 0.05244247493540463, -0.0008517407951802834, -0.08727, 0, 60.0), (948.3811425926549, -88.745068956841, 1.3078335927855507, 0.1643518087393768, 0.05127325658356207, -3.2394310840520277e-06, -0.06981, 0, 120.0), (1619.4275936737793, -176.14498837149827, 1.7279317985894602, 0.12114173228295702, -0.028197645051431467, -0.0010001969638207282, -0.03491, 0, 180.0), (2237.362912378476, -127.25520852395499, 1.604272936540531, 0.08568642326824402, 0.6023652870842207, 0.002584433589100104, -0.06981, 0.19026745122925046, 6638.593514627765)]",6638.593514627765,0.01608147242711173,682.0704491138458
10,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2137.8812328150416, -653.9287381828805, 1, 0, 0, 0, 0, 0, 0)","[(-0.01745, 0.0)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (874.5144151462928, -220.33154424258512, 2.544785282924183, 0.08537061359454402, -0.18356803095166938, 0.0009570234662291785, -0.01745, 0, 60.0)]",60.0,24.343201930527577,86.33961486816406
